# {"t_start": 1575379720.119802, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
406.0,2180,593.949963
5.0,350,684.290411
354.0,2020,1219.55896
416.0,6193,2861.783827
474.0,5469,4313.726095
0.0,125,4341.678566
399.0,2186,4918.609488
379.0,2317,5530.087564
2.0,224,5585.994734
363.0,2803,6332.326091
38.0,765,6531.70809
347.0,1799,7007.355244
4.0,277,7076.998607
0.0,123,7106.465831
44.0,906,7345.17671
431.0,5173,8717.190749
1.0,155,8754.92301
255.0,1633,9185.561454
396.0,2885,9950.155359
0.0,129,9981.171401
381.0,2052,10523.371124
4.0,259,10588.61457
354.0,2035,11124.157788
0.0,125,11152.406246
417.0,2619,11845.147946
0.0,127,11875.168008
0.0,127,11905.657743
0.0,129,11934.676126
2.0,198,11984.587621
432.0,2568,12661.799308
424.0,2648,13360.091962
0.0,127,13389.996716
2.0,224,13446.804477
2.0,218,13501.631757
3.0,250,13561.958659
428.0,4676,14802.126444
566.0,3529,15732.939778
0.0,127,15763.051482
428.0,2781,16497.192379
1.0,154,16533.808129
3.0,226,16590.48709
404.0,1891,17084.090234
785.0,3302,17952.315771
0.0,127,17982.360385
401.0,2521,18646.193139
0.0,129,18676.596983
7.0,427,18785.661042
813.0,4169,19887.82649
416.0,12714,23253.282748
431.0,13361,26789.660703
444.0,3032,27590.196365
