# {"t_start": 1575379718.512691, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
72.0,1469,408.052542
405.0,9642,2968.330992
1.0,173,3010.194527
431.0,3764,4010.166619
0.0,125,4037.926068
410.0,2446,4684.276033
5.0,350,4774.091008
442.0,2384,5403.494839
396.0,4909,6708.255585
0.0,129,6739.089274
1.0,173,6780.688282
402.0,8524,9046.028188
428.0,2203,9630.67763
142.0,1773,10098.65939
304.0,1880,10595.089753
1.0,172,10636.963823
1.0,153,10673.564483
2.0,199,10723.659384
0.0,129,10754.574075
264.0,1460,11136.085097
0.0,129,11166.905181
428.0,2576,11847.234133
0.0,127,11877.222064
0.0,129,11908.183169
545.0,6362,13591.21934
431.0,3405,14493.341159
123.0,1594,14912.309755
546.0,8472,17150.888477
0.0,127,17181.25215
1.0,173,17222.785184
428.0,2723,17936.474667
420.0,5474,19384.036222
3.0,218,19438.872263
792.0,9162,21859.722163
0.0,129,21890.058561
428.0,2849,22643.285247
405.0,2441,23287.97994
407.0,2459,23936.792914
5.0,328,24021.016235
0.0,127,24051.431104
2.0,205,24101.246394
10.0,473,24223.762462
378.0,1970,24741.513227
425.0,6979,26584.102356
0.0,127,26614.51915
420.0,2572,27292.788652
3.0,232,27351.303435
