# {"t_start": 1574858892.0865304, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
0.0,127,40.804383
0.0,127,70.320365
2.0,202,117.467533
0.0,125,144.95419
0.0,127,171.954317
362.0,2130,727.771945
0.0,127,758.493578
9.0,404,863.092898
427.0,2427,1515.323954
10.0,431,1627.241341
0.0,127,1658.284963
366.0,2261,2262.924899
2.0,202,2314.024171
239.0,1922,2830.313102
1.0,173,2872.840852
214.0,2132,3445.82356
0.0,129,3477.244018
393.0,2170,4055.80367
0.0,125,4086.054206
0.0,127,4116.822111
396.0,2070,4668.823425
277.0,1322,5021.846807
9.0,404,5127.605331
379.0,1806,5609.588525
335.0,1808,6092.739515
5.0,327,6177.9527
0.0,125,6208.280318
0.0,123,6238.300322
4.0,299,6315.064146
427.0,2700,7036.471707
373.0,2065,7588.164324
5.0,350,7678.979661
0.0,127,7707.519824
5.0,372,7804.529483
401.0,2038,8350.898842
3.0,252,8414.886344
413.0,2143,8987.0291
5.0,325,9071.703721
384.0,1989,9601.26991
3.0,231,9659.664744
374.0,2073,10210.932519
360.0,2077,10766.644894
375.0,2288,11379.493776
44.0,1224,11704.849339
408.0,2314,12323.762324
81.0,1494,12722.009042
95.0,1594,13147.369397
61.0,1483,13543.141468
418.0,2760,14280.48992
62.0,1193,14596.713526
380.0,2491,15265.603912
432.0,3687,16254.989839
417.0,2734,16986.869961
60.0,980,17246.599143
404.0,2434,17899.567832
415.0,3141,18741.160544
406.0,2001,19274.814034
414.0,3766,20284.671914
435.0,2824,21041.900685
32.0,835,21262.934591
428.0,3593,22221.610886
197.0,1853,22714.469827
401.0,2632,23420.464753
407.0,2157,23997.191114
432.0,3335,24890.784009
397.0,2109,25453.915353
321.0,1315,25803.44125
273.0,1984,26333.625893
378.0,1901,26839.973176
179.0,1422,27218.4868
424.0,2634,27924.523012
