eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
127.4,0.0,353,4.5102005,0.32332355,0.8720199,0.031688474,5.9933314,-0.050777554512023926,1,128,34.73175249621272,12288
163.4878048780488,0.9512195121951219,379,0.00542673,0.16784666,0.8919027,0.005443545,0.43009862,0.43618881702423096,2,256,67.1399523243308,24576
185.84745762711864,1.4915254237288136,390,0.0017660054,0.075520836,0.8540667,0.0005308353,0.30086872,0.6989054977893829,3,384,98.63505750149488,36864
190.31428571428572,1.6,390,0.019394208,0.095438644,0.83031684,-0.0002011722,0.21090466,0.5903053879737854,4,512,130.14150696992874,49152
191.11111111111111,1.6296296296296295,382,0.2502112,0.1624349,0.80583626,0.003791543,0.15414584,0.780214786529541,5,640,162.23328937217593,61440
192.12941176470588,1.6588235294117648,390,0.0020372134,0.08416748,0.79005116,-0.0011239676,0.18112084,0.6992916464805603,6,768,193.68127899616957,73728
192.04597701149424,1.6551724137931034,381,0.001766896,0.07305908,0.780179,-0.0014117333,0.16455355,0.7239087224006653,7,896,225.86286556348205,86016
192.1590909090909,1.6590909090909092,389,0.0028578276,0.11142985,0.77343404,-0.00031515947,0.27013835,0.7274512350559235,8,1024,257.4015260785818,98304
193.3370786516854,1.6853932584269662,387,0.004550922,0.14194742,0.7660772,0.0014776901,0.3589401,0.7300515174865723,9,1152,289.08631179854274,110592
205.05555555555554,4.322222222222222,389,0.0036284076,0.11478679,0.76812464,0.00047951026,0.47764295,0.6595928370952606,10,1280,320.5999981611967,122880
240.94623655913978,8.827956989247312,381,0.00085056573,0.036173504,0.77030665,-0.0008217532,0.59317374,0.6611386239528656,11,1408,352.80564687401056,135168
251.09278350515464,11.907216494845361,393,0.0014046046,0.0674235,0.77894604,-0.00088307,0.52444667,0.7766964882612228,12,1536,384.04949777945876,147456
343.34,27.59,376,0.0010086813,0.044779457,0.7811463,-0.0016957023,0.50478595,0.7787211239337921,13,1664,416.6766152456403,159744
472.12,51.77,366,0.00095753465,0.044677734,0.79806596,-0.0011134889,0.54611516,0.8044974654912949,14,1792,450.2136556170881,172032
536.95,64.01,351,0.0020020094,0.0674235,0.8032699,-0.00037951357,0.38557214,0.8374327570199966,15,1920,485.1999537721276,184320
670.56,89.18,260,0.0011494196,0.054545082,0.8148481,-0.0007908244,0.40927714,0.8192708641290665,16,2048,532.4225874431431,196608
794.0,115.11,390,0.0021021303,0.08520508,0.82503045,-0.0010889628,0.35362634,0.8094960153102875,17,2176,563.8883761353791,208896
1070.12,168.25,384,0.0025671266,0.10343424,0.83334625,-0.0015013122,0.18269543,0.8868476301431656,18,2304,595.81641882658,221184
1210.5,194.16,358,0.0024323466,0.10172525,0.8397631,-0.0016167746,0.17477238,0.8799431994557381,19,2432,630.0783390402794,233472
1300.87,210.38,356,0.0017022104,0.07448324,0.83742553,-0.0027144793,0.15327221,0.8954976052045822,20,2560,664.5263237692416,245760
1279.09,204.44,357,0.0027327493,0.10900878,0.824847,-0.0029534604,0.15094157,0.8944199904799461,21,2688,698.9336148500443,258048
1289.7,203.95,354,0.0025184948,0.1009318,0.8095425,-0.0018917195,0.18611334,0.8974479511380196,22,2816,733.6357327066362,270336
1232.31,193.27,357,0.0036795028,0.12772626,0.8150805,-0.0010777835,0.20531155,0.8922986388206482,23,2944,768.0076786354184,282624
1227.3,187.79,355,0.006996501,0.18393962,0.8197788,0.0026580496,0.14050388,0.9339659065008163,24,3072,802.5746213831007,294912
1255.63,183.18,356,0.0023038792,0.095926926,0.8065384,-0.0016514149,0.22912489,0.8874397575855255,25,3200,837.0112013332546,307200
1225.31,178.02,358,0.0019165727,0.082519524,0.80957836,-0.0018273105,0.24629432,0.8881497904658318,26,3328,871.2771848775446,319488
1165.43,163.3,361,0.002922625,0.11482747,0.81193393,-0.0008067215,0.37026018,0.8772163838148117,27,3456,905.3079719506204,331776
1139.81,158.02,359,0.00091307453,0.044087727,0.81219876,-0.0011424194,0.53458923,0.8468901515007019,28,3584,939.4655702598393,344064
1166.33,164.26,353,0.001127226,0.05411784,0.8157965,-0.001959991,0.33524436,0.8805064186453819,29,3712,974.1979579403996,356352
1153.25,161.72,352,0.0029134937,0.10062663,0.8148735,-0.00023330138,0.3822841,0.8613798469305038,30,3840,1009.0492578782141,368640
1135.34,158.7,354,0.0029459677,0.10662842,0.8323816,0.001025597,0.3876453,0.8929594904184341,31,3968,1043.7097856216133,380928
1207.08,168.63,354,0.0027785455,0.10455322,0.8176102,-0.00031140156,0.31736708,0.8658988773822784,32,4096,1078.353977587074,393216
1219.19,172.67,353,0.0029774427,0.10642497,0.82362616,-0.001280361,0.27904972,0.8763463273644447,33,4224,1113.150543011725,405504
1178.85,171.59,355,0.0016463483,0.06907146,0.83398235,-0.0033832274,0.2176667,0.908516563475132,34,4352,1147.725308701396,417792
1167.56,171.7,351,0.0038902436,0.13761394,0.82605743,-0.0027004364,0.16212551,0.9216549471020699,35,4480,1182.6589883752167,430080
1160.65,171.47,354,0.0029995025,0.121805824,0.8193277,-0.0019798393,0.27099574,0.8944224715232849,36,4608,1217.3445114009082,442368
1194.57,178.59,346,0.0030906906,0.1153768,0.83818763,-0.0004086059,0.18600985,0.909459225833416,37,4736,1252.8079396821558,454656
1190.57,178.67,355,0.0028966533,0.110778816,0.8481288,-0.0030323262,0.15771313,0.911447323858738,38,4864,1287.3395508155227,466944
