# {"t_start": 1574858891.1738775, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
2.0,198,60.989673
365.0,1543,440.818988
0.0,127,471.621986
9.0,404,586.2572
393.0,2054,1133.930052
2.0,202,1184.162724
10.0,431,1297.346595
413.0,2753,2037.337892
401.0,2356,2668.271736
370.0,2210,3261.578877
383.0,1710,3719.800968
420.0,2445,4375.231381
393.0,2463,5033.665583
393.0,2483,5697.928004
0.0,127,5728.380258
0.0,123,5757.667133
361.0,1759,6227.586947
418.0,2445,6881.175719
411.0,2395,7521.780135
9.0,400,7626.13619
108.0,1471,8016.884732
87.0,1409,8393.736471
4.0,282,8465.359143
3.0,252,8528.977935
2.0,200,8580.309285
408.0,2929,9363.401828
389.0,1996,9897.005104
5.0,305,9974.010599
390.0,1956,10495.682582
316.0,1692,10946.576907
427.0,2392,11587.803458
14.0,625,11753.161042
46.0,1189,12069.507515
428.0,3027,12880.325444
347.0,2080,13435.327768
44.0,1025,13707.910441
94.0,1634,14142.453424
399.0,1957,14663.279046
427.0,2167,15244.729015
37.0,1005,15511.395819
427.0,2938,16299.394712
416.0,2343,16926.343355
423.0,2217,17520.012812
413.0,2320,18142.372575
31.0,992,18406.642937
359.0,1825,18892.009343
424.0,2740,19624.11238
407.0,2972,20419.441005
77.0,1483,20817.672625
257.0,1872,21316.142054
408.0,2677,22029.007115
418.0,2105,22591.499048
597.0,5178,23982.065577
300.0,1922,24495.854407
339.0,1888,24998.972358
438.0,2941,25784.63485
312.0,1812,26268.718551
430.0,2118,26834.709906
420.0,2622,27536.279182
