# {"t_start": 1574266650.9679193, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
2.0,184,55.580347
1.0,153,91.19669
2.0,202,138.595785
5.0,338,220.814337
6.0,379,311.023417
3.0,268,374.758632
1.0,174,414.637548
1.0,155,449.965747
0.0,127,478.56789
0.0,125,506.454007
0.0,129,535.341205
0.0,127,563.836882
9.0,404,662.661203
9.0,404,761.674571
1.0,170,800.452993
10.0,434,905.725618
2.0,200,953.552754
2.0,200,1000.036256
3.0,230,1054.233392
0.0,129,1083.088183
0.0,127,1111.514553
0.0,129,1138.73421
0.0,129,1167.881805
0.0,129,1196.516176
0.0,125,1224.447098
1.0,155,1259.069762
3.0,246,1317.735579
0.0,127,1346.401446
2.0,202,1392.600236
0.0,129,1421.566752
5.0,350,1506.3189
0.0,127,1534.425326
0.0,129,1563.214174
9.0,404,1660.914012
5.0,350,1744.798172
0.0,129,1773.883338
7.0,446,1882.534053
2.0,202,1929.552208
0.0,125,1957.73999
2.0,202,2003.800283
4.0,297,2075.737142
0.0,127,2103.86416
2.0,202,2150.376115
5.0,350,2235.482712
0.0,127,2264.253439
2.0,202,2310.653811
4.0,261,2372.785651
1.0,157,2408.465628
3.0,230,2462.129373
0.0,129,2491.058589
0.0,127,2519.689763
3.0,232,2573.23136
1.0,155,2608.286863
2.0,185,2651.831753
1.0,155,2687.037944
2.0,202,2733.297767
2.0,185,2776.618889
3.0,228,2829.494589
4.0,302,2902.126277
5.0,297,2972.595716
4.0,261,3034.715646
7.0,450,3141.961856
8.0,299,3212.826479
1.0,157,3248.003546
8.0,443,3354.418576
3.0,216,3403.498431
1.0,158,3438.716158
9.0,334,3518.748825
3.0,218,3569.26939
4.0,246,3625.562319
8.0,296,3695.801682
11.0,472,3807.74714
18.0,671,3968.827307
3.0,253,4027.99789
12.0,320,4103.254194
7.0,390,4193.499293
10.0,485,4308.922734
10.0,559,4441.468792
5.0,311,4514.92538
7.0,346,4596.008913
12.0,443,4702.378801
9.0,426,4802.798934
8.0,459,4911.037847
13.0,546,5043.622142
22.0,602,5186.088352
10.0,375,5275.257504
9.0,425,5375.475578
14.0,601,5520.725868
5.0,278,5585.340163
12.0,546,5715.726503
14.0,511,5838.435066
19.0,762,6021.744266
19.0,564,6157.370651
11.0,472,6269.641338
13.0,529,6394.190324
11.0,427,6494.762389
21.0,638,6647.378053
21.0,752,6826.817149
8.0,404,6922.882738
16.0,644,7077.756627
21.0,680,7241.018925
24.0,807,7435.836885
18.0,631,7587.878195
27.0,706,7756.619993
15.0,736,7933.653702
10.0,482,8046.729907
25.0,781,8233.965032
13.0,581,8373.235675
16.0,620,8520.686542
18.0,692,8688.21459
12.0,567,8823.550743
16.0,594,8966.255379
13.0,584,9104.495311
20.0,705,9273.633195
18.0,698,9441.143272
19.0,749,9623.095838
22.0,794,9814.197161
24.0,782,10001.392916
23.0,672,10162.230633
18.0,661,10321.603934
14.0,547,10451.589861
16.0,687,10615.669158
13.0,572,10751.485198
17.0,682,10915.006343
30.0,767,11098.920639
21.0,605,11242.348311
13.0,618,11388.846662
23.0,797,11580.44774
19.0,804,11773.103263
18.0,697,11941.357542
21.0,724,12115.436337
20.0,472,12228.305503
15.0,657,12385.415979
16.0,632,12536.04089
22.0,582,12674.113281
18.0,832,12874.423589
25.0,955,13103.248008
23.0,847,13305.535547
42.0,1148,13584.248643
21.0,760,13767.194218
27.0,726,13942.379191
18.0,786,14129.313697
35.0,1047,14380.749034
31.0,970,14612.209527
12.0,589,14753.052661
35.0,874,14961.629315
29.0,702,15130.544591
23.0,836,15330.655754
34.0,938,15556.870514
27.0,827,15757.213074
24.0,814,15952.639895
24.0,709,16120.716321
23.0,758,16302.539069
33.0,890,16515.612387
16.0,622,16665.862636
22.0,732,16839.083995
35.0,812,17033.453634
18.0,681,17196.02056
28.0,782,17382.599152
13.0,570,17517.417826
18.0,731,17691.591079
39.0,898,17907.11189
30.0,750,18088.576837
48.0,1115,18356.672765
23.0,626,18506.092209
34.0,884,18718.447528
31.0,967,18949.93014
43.0,1091,19212.949765
38.0,1019,19457.479801
36.0,706,19625.892059
40.0,902,19842.393888
19.0,802,20035.217353
20.0,708,20203.268759
25.0,491,20319.744519
42.0,1150,20595.911016
35.0,877,20806.616078
38.0,1030,21055.268967
38.0,1004,21295.769501
55.0,1327,21617.558875
63.0,1381,21949.087249
65.0,1211,22238.391666
60.0,1234,22536.332667
45.0,1220,22832.998061
23.0,676,22996.20974
43.0,989,23233.879818
25.0,831,23433.984515
37.0,763,23617.104431
50.0,1286,23928.493131
91.0,1540,24299.329073
78.0,1469,24655.838091
76.0,1013,24899.584125
85.0,1446,25250.105356
44.0,863,25456.384876
77.0,1481,25816.409863
56.0,1277,26125.071102
134.0,1882,26583.414016
68.0,1488,26945.718714
29.0,882,27159.051491
81.0,1585,27542.996143
49.0,1309,27859.510997
53.0,1267,28166.580077
85.0,1347,28492.883715
34.0,1018,28738.030268
39.0,1113,29006.792207
43.0,859,29213.901532
74.0,1262,29519.445444
82.0,1653,29921.709923
186.0,1260,30227.54394
79.0,1068,30485.700846
52.0,1162,30765.372991
85.0,1592,31149.138612
45.0,940,31374.642737
170.0,1759,31799.734197
81.0,1339,32122.041584
49.0,1078,32383.185159
115.0,1347,32706.275232
57.0,1020,32950.971759
89.0,1524,33321.525336
144.0,1755,33744.835346
80.0,1435,34093.094072
91.0,1273,34399.275812
231.0,1613,34788.216731
276.0,1849,35231.253113
86.0,1728,35646.486245
146.0,1707,36058.492592
93.0,1659,36456.069607
129.0,1670,36857.156268
59.0,1288,37168.368761
61.0,1088,37431.879931
50.0,971,37664.333511
223.0,1598,38051.272049
223.0,2085,38556.240671
195.0,1920,39019.403044
111.0,1476,39377.510232
163.0,1541,39751.547682
294.0,2114,40264.733199
63.0,921,40484.480197
203.0,1576,40864.8487
124.0,1485,41223.2771
55.0,1178,41506.146088
170.0,1383,41840.713884
268.0,894,42056.47553
52.0,1126,42328.711919
362.0,2322,42892.401226
246.0,1643,43290.74087
247.0,1111,43559.720721
287.0,1953,44034.396758
242.0,1839,44477.345315
32.0,896,44692.394801
160.0,1439,45039.241855
136.0,1767,45464.921194
82.0,1502,45827.262977
250.0,1752,46251.16895
103.0,1236,46550.276922
164.0,1678,46959.351573
146.0,1407,47299.669605
249.0,1805,47735.79091
87.0,1591,48120.722828
138.0,1704,48531.315589
123.0,1600,48917.341379
245.0,1850,49364.14503
237.0,1559,49739.498535
309.0,1688,50147.709065
261.0,1552,50521.187252
