eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
127.22222222222223,0.0,350,0.0014179766,0.011413574,1.3850036,-0.0007902862,0.07375512,-0.004928231239318848,1,128,35.08054319396615,12288
161.39,0.87,373,0.000135868,0.0,1.3843613,-0.00017309793,0.035986926,-0.012035846710205078,2,256,68.02434862405062,24576
178.61,1.32,373,0.00029419397,0.0,1.3834174,-0.00038216566,0.035600003,0.008658289909362793,3,384,100.89052516967058,36864
181.05,1.35,377,0.00017660126,0.0,1.3825374,-0.0001160365,0.03563807,0.013228774070739746,4,512,133.45471751317382,49152
179.68,1.34,382,0.0004152303,0.0,1.3804991,-0.00038188405,0.037970755,0.020893454551696777,5,640,165.5397616326809,61440
188.21,1.52,381,0.00051498564,0.0,1.375822,-0.00044529908,0.037604146,0.03525060415267944,6,768,197.7491703517735,73728
184.56,1.4,379,0.00044355547,0.0,1.3729694,3.2249358e-05,0.03674376,0.05728369951248169,7,896,230.15605529770255,86016
187.63,1.52,391,0.00070459285,0.011149088,1.3666481,-0.00061055814,0.0352922,0.08776462078094482,8,1024,261.51395186036825,98304
181.47,1.41,391,0.0011518284,0.018676758,1.3648137,-0.0006353199,0.040531237,0.126120924949646,9,1152,292.86710626631975,110592
195.1,1.73,389,0.0015507154,0.04160563,1.3545625,-0.0010645476,0.04444874,0.13248640298843384,10,1280,324.44966031610966,122880
203.61,1.85,377,0.00070546364,0.0099487305,1.3522654,-0.00037273124,0.04110492,0.1758977174758911,11,1408,357.0156762562692,135168
215.03,2.22,388,0.0011190805,0.04482015,1.3572214,-0.0009114875,0.03896609,0.23680585622787476,12,1536,388.6835499033332,147456
203.11,1.91,377,0.0012370751,0.039265953,1.3668154,-0.00045291687,0.03885469,0.3214617371559143,13,1664,421.22637988626957,159744
