# {"t_start": 1574266651.2047539, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
0.0,129,39.960208
1.0,157,78.529115
3.0,249,137.409339
5.0,351,222.775114
8.0,371,311.053242
0.0,125,338.758155
0.0,127,367.765649
4.0,299,438.890368
0.0,129,468.27249
0.0,127,496.340408
0.0,129,524.021339
2.0,198,570.870859
0.0,125,599.14267
0.0,125,627.404529
2.0,202,674.55244
2.0,198,722.379788
4.0,297,793.398415
7.0,322,870.22552
5.0,352,956.055995
2.0,221,1007.542653
9.0,404,1104.693661
0.0,125,1132.295663
3.0,248,1191.2866
0.0,127,1219.250654
0.0,127,1247.295511
0.0,127,1275.713123
0.0,129,1305.050141
0.0,129,1334.218578
0.0,129,1361.580926
0.0,129,1390.526152
2.0,202,1438.302833
5.0,350,1521.661454
2.0,202,1568.941023
0.0,125,1597.086484
9.0,404,1695.252648
0.0,129,1724.136142
0.0,125,1752.260615
0.0,127,1779.360091
0.0,127,1807.627304
2.0,202,1855.326576
0.0,127,1883.794662
2.0,202,1930.773016
0.0,129,1959.810089
5.0,350,2044.437511
4.0,299,2115.053193
0.0,129,2143.970718
9.0,403,2241.623774
9.0,382,2334.424757
2.0,201,2380.648167
0.0,129,2409.726237
3.0,246,2467.052594
3.0,236,2523.405981
6.0,396,2618.773078
5.0,294,2688.512257
8.0,299,2758.95685
1.0,155,2794.234043
1.0,155,2829.535875
11.0,271,2893.369042
0.0,129,2922.263042
1.0,157,2957.859605
4.0,302,3031.129009
12.0,520,3155.008767
1.0,175,3196.600148
7.0,250,3255.386603
3.0,216,3304.059185
6.0,399,3398.91196
15.0,627,3550.399284
19.0,545,3680.707769
12.0,322,3757.798233
8.0,281,3822.899516
2.0,203,3868.784539
9.0,363,3954.689539
17.0,620,4103.525786
6.0,395,4196.474448
2.0,183,4237.372237
9.0,470,4347.969962
14.0,384,4437.895288
13.0,544,4567.658371
9.0,442,4673.841756
6.0,360,4757.059014
14.0,546,4888.899256
8.0,417,4988.513085
14.0,522,5113.058321
13.0,605,5256.432608
14.0,615,5404.539562
13.0,481,5520.003119
12.0,333,5597.496335
14.0,421,5697.506316
20.0,655,5854.994361
18.0,734,6032.089579
13.0,554,6165.292915
15.0,630,6314.83849
8.0,443,6418.858136
12.0,565,6554.693621
17.0,688,6718.750454
26.0,746,6899.235859
5.0,314,6972.193004
21.0,655,7128.544484
13.0,352,7211.348399
18.0,537,7339.999254
11.0,549,7471.249578
15.0,601,7616.118806
19.0,557,7748.665514
20.0,809,7942.836214
20.0,676,8104.162323
15.0,600,8247.464067
14.0,403,8342.576649
20.0,674,8504.432562
22.0,683,8668.27352
22.0,710,8839.461901
14.0,627,8987.905087
9.0,415,9086.876064
14.0,673,9248.745664
23.0,870,9456.720655
19.0,742,9637.058399
16.0,678,9799.900547
17.0,651,9955.100323
15.0,678,10117.503891
19.0,813,10314.732377
17.0,713,10484.848367
