# {"t_start": 1574337898.0513656, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
2.0,201,59.154043
2.0,202,106.638803
0.0,129,135.706087
0.0,123,163.525517
0.0,127,192.571019
2.0,201,240.003361
0.0,127,267.519027
1.0,159,304.853024
0.0,127,331.820429
4.0,296,403.478109
0.0,129,432.514026
0.0,129,460.495338
0.0,127,489.14308
0.0,127,517.416211
3.0,266,580.84972
0.0,127,609.860051
0.0,125,637.710891
1.0,155,673.137903
0.0,125,701.272434
0.0,127,730.331213
2.0,202,776.618907
5.0,352,862.073333
1.0,173,901.691068
5.0,350,986.673345
6.0,380,1078.503216
4.0,298,1148.732839
0.0,129,1177.48622
0.0,129,1206.417746
2.0,200,1252.410598
2.0,224,1305.468056
0.0,129,1334.252326
5.0,350,1416.994393
6.0,382,1509.635589
9.0,404,1607.484514
5.0,350,1692.883245
6.0,382,1785.180823
2.0,200,1831.321634
9.0,404,1929.099057
0.0,125,1956.538123
3.0,248,2015.269554
0.0,127,2043.826091
0.0,125,2072.223857
2.0,200,2118.682697
0.0,129,2147.874431
9.0,380,2238.855071
0.0,127,2267.412203
9.0,403,2364.469681
6.0,397,2460.119486
5.0,352,2543.152009
4.0,283,2609.789394
3.0,248,2668.414155
10.0,456,2779.331194
4.0,265,2842.101768
5.0,350,2924.36922
1.0,175,2965.197377
9.0,327,3042.484148
3.0,278,3108.346537
0.0,129,3136.524113
2.0,225,3189.272722
0.0,127,3217.69261
12.0,521,3341.620106
1.0,157,3378.148838
8.0,466,3489.329512
0.0,129,3517.685021
3.0,252,3576.090072
14.0,536,3705.19291
3.0,237,3761.229892
15.0,598,3905.242467
5.0,315,3981.367809
4.0,282,4047.609305
2.0,222,4097.722785
12.0,519,4223.141882
7.0,401,4319.825885
11.0,558,4454.730369
9.0,497,4572.47831
12.0,323,4650.013758
12.0,520,4775.60149
9.0,488,4891.477167
6.0,340,4972.066492
13.0,373,5060.16205
12.0,498,5179.25677
13.0,591,5321.523441
18.0,635,5475.061465
17.0,567,5610.303166
12.0,622,5759.085027
12.0,612,5906.182411
9.0,456,6013.819387
20.0,743,6192.978825
19.0,623,6343.027787
14.0,657,6499.723228
21.0,701,6666.737675
15.0,713,6838.303321
9.0,468,6951.388211
11.0,526,7076.581893
17.0,577,7212.464158
25.0,741,7391.941163
19.0,608,7538.203291
24.0,519,7663.393959
12.0,655,7819.73179
19.0,737,7996.990928
15.0,601,8142.50875
8.0,464,8252.41946
24.0,794,8443.871594
11.0,548,8574.833008
14.0,581,8714.526175
9.0,486,8830.607068
15.0,702,8999.271257
21.0,714,9171.523519
15.0,549,9301.905377
27.0,863,9508.612625
8.0,460,9617.282724
12.0,611,9762.634059
31.0,741,9939.129631
21.0,647,10093.67942
23.0,528,10218.934384
22.0,716,10391.186373
14.0,542,10519.727273
16.0,722,10691.963994
15.0,556,10825.497185
15.0,557,10958.024434
22.0,647,11110.845748
8.0,427,11211.435006
21.0,687,11375.770199
25.0,607,11519.826422
31.0,892,11734.708423
12.0,630,11886.18194
17.0,680,12049.100125
25.0,541,12176.931215
18.0,683,12339.088266
26.0,673,12497.9533
31.0,732,12674.901772
28.0,851,12880.417223
23.0,685,13045.380469
39.0,809,13239.986411
9.0,427,13340.197833
16.0,683,13502.292469
39.0,871,13711.992256
21.0,622,13861.473366
29.0,1088,14122.673517
25.0,753,14301.217687
24.0,816,14497.142014
22.0,854,14704.079581
26.0,632,14855.809855
36.0,1136,15130.400129
20.0,857,15337.055384
34.0,874,15548.338729
49.0,1264,15854.223996
43.0,1202,16148.296367
44.0,1104,16412.695802
36.0,885,16627.257282
32.0,797,16818.655731
32.0,865,17025.796163
34.0,1060,17281.674733
29.0,753,17464.847769
26.0,877,17675.264583
32.0,656,17832.179349
28.0,761,18014.553255
48.0,1186,18300.109497
31.0,795,18493.551892
40.0,1143,18767.410461
19.0,802,18961.678875
33.0,921,19181.755821
26.0,909,19398.97413
45.0,1362,19728.179615
29.0,685,19890.567833
36.0,1129,20162.046766
44.0,1242,20459.973833
43.0,910,20678.457673
48.0,1150,20957.047614
27.0,686,21121.874821
56.0,1236,21417.726629
45.0,993,21659.41632
40.0,961,21890.541323
97.0,1570,22272.674936
80.0,1386,22608.138277
87.0,1570,22986.670611
52.0,1217,23280.034466
69.0,1450,23630.014434
57.0,1276,23937.821205
41.0,1056,24192.038639
53.0,1043,24443.654889
107.0,1445,24794.803809
113.0,1779,25228.305886
62.0,1299,25544.590837
87.0,1194,25833.161577
104.0,1642,26232.044173
80.0,1562,26610.022583
176.0,1856,27063.450093
106.0,1686,27469.863908
96.0,1469,27824.518101
44.0,1166,28105.857987
93.0,1312,28420.640206
201.0,1828,28863.894796
22.0,783,29051.00841
62.0,1195,29341.69127
82.0,1373,29673.917438
221.0,1402,30011.362711
150.0,1725,30429.964838
47.0,1034,30678.214092
56.0,1395,31017.316302
37.0,712,31188.758235
87.0,1179,31473.720523
69.0,1276,31781.659124
48.0,1183,32067.529768
50.0,1107,32333.516292
52.0,1157,32613.427613
153.0,1508,32977.380458
77.0,1422,33320.3332
126.0,1519,33686.716589
281.0,1390,34019.15849
336.0,2470,34617.987601
169.0,1624,35011.863693
287.0,1795,35446.66781
217.0,1770,35873.821187
231.0,1288,36183.301326
62.0,1313,36501.581922
67.0,1282,36810.379663
125.0,1482,37169.027891
339.0,1524,37536.451116
213.0,1783,37966.993713
125.0,1701,38378.626107
271.0,1603,38763.691654
241.0,1283,39072.508361
144.0,1576,39452.636124
91.0,1292,39764.62538
280.0,1206,40054.871625
398.0,2128,40566.63905
139.0,1489,40927.597897
59.0,1337,41250.134081
149.0,1563,41627.293706
72.0,1346,41949.761963
314.0,1629,42342.385696
264.0,1604,42731.601992
108.0,1556,43106.346672
78.0,1306,43421.163282
276.0,867,43629.982807
107.0,1377,43961.143674
340.0,1944,44431.2054
344.0,1818,44868.981983
339.0,1787,45301.16204
284.0,1618,45690.892283
300.0,1366,46021.633813
239.0,1710,46436.422169
329.0,1571,46813.49938
282.0,1648,47210.506924
23.0,801,47403.991034
299.0,1830,47844.97995
398.0,2341,48410.142942
147.0,1498,48771.958195
162.0,1553,49146.855155
281.0,1845,49592.031177
321.0,1969,50068.911411
320.0,1504,50433.53919
319.0,1544,50805.109191
339.0,2038,51300.851188
363.0,2439,51891.491157
253.0,1240,52189.939524
262.0,1709,52600.719909
345.0,2053,53098.285583
282.0,1433,53442.686831
323.0,1822,53883.884447
335.0,2156,54406.358083
140.0,1614,54798.41971
284.0,2229,55336.962087
271.0,2067,55838.683781
228.0,1924,56302.409864
288.0,2114,56812.694057
336.0,1941,57281.551992
370.0,1736,57701.067973
205.0,1430,58045.296397
269.0,1387,58381.466673
27.0,923,58602.333633
250.0,1302,58916.859143
336.0,2012,59403.304281
308.0,2062,59901.50857
339.0,2044,60395.78341
330.0,1543,60770.321555
339.0,1832,61213.575804
368.0,2133,61730.167053
251.0,1598,62115.167058
313.0,1735,62534.488652
151.0,1726,62953.526428
326.0,1851,63403.715434
324.0,1740,63822.865525
322.0,1571,64201.5543
316.0,1426,64544.692168
327.0,1889,65001.549427
231.0,1726,65418.452027
397.0,2112,65930.876243
312.0,1654,66329.843306
226.0,2028,66821.71092
320.0,1639,67216.588263
359.0,2176,67742.095507
272.0,2048,68236.804004
284.0,1478,68590.416733
299.0,1432,68936.014586
385.0,1898,69392.507994
341.0,1975,69871.306245
391.0,2036,70362.399425
394.0,2286,70916.070883
326.0,1383,71249.594778
421.0,2431,71839.353637
194.0,1679,72243.037368
339.0,1711,72658.107366
285.0,1288,72967.130535
351.0,1788,73398.55005
366.0,1349,73723.513017
379.0,2319,74283.269191
394.0,1939,74750.19814
381.0,2147,75265.878162
342.0,1922,75728.308995
377.0,2194,76257.32074
336.0,1366,76583.323898
299.0,1570,76960.803971
324.0,1709,77369.459871
361.0,1262,77672.852937
402.0,2422,78259.685551
283.0,1302,78570.181574
398.0,2416,79154.450212
398.0,2589,79778.883725
325.0,1706,80189.065969
324.0,1682,80593.681641
407.0,4117,81589.08982
382.0,2209,82120.829964
406.0,1892,82578.53235
312.0,1910,83036.196056
404.0,2625,83671.661374
316.0,1440,84017.956068
345.0,1954,84492.624707
399.0,2453,85086.053834
345.0,1729,85502.167808
259.0,1993,85982.860385
360.0,2338,86547.0854
389.0,2117,87056.958
424.0,2621,87687.723816
414.0,2360,88258.850167
424.0,2459,88848.9256
383.0,1998,89327.493269
384.0,2822,90005.47406
418.0,2421,90588.95499
407.0,3983,91550.915617
411.0,2401,92127.561848
424.0,2854,92814.717097
411.0,4020,93784.726996
410.0,2103,94291.893052
420.0,2326,94851.655023
391.0,2539,95461.053776
417.0,5194,96713.921258
402.0,2007,97196.473155
246.0,1766,97620.560066
332.0,1081,97878.218475
425.0,3018,98606.926556
416.0,2578,99229.380306
416.0,2415,99811.444655
690.0,4363,100860.152848
