# {"t_start": 1574337896.5159671, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
0.0,125,40.148919
2.0,202,89.467347
1.0,175,129.669309
2.0,225,184.003547
2.0,201,230.416908
3.0,251,289.9408
1.0,178,330.644488
0.0,129,359.682879
0.0,127,387.832436
0.0,129,417.119161
3.0,252,477.353151
0.0,127,505.683416
0.0,129,534.899702
1.0,173,574.473299
4.0,299,646.053041
2.0,188,689.380082
0.0,127,717.895836
5.0,332,798.639794
0.0,129,827.581011
0.0,129,856.686587
1.0,159,893.108888
0.0,127,921.849112
4.0,297,992.490321
3.0,248,1051.15442
2.0,202,1097.287906
0.0,127,1125.859753
2.0,198,1170.984112
11.0,503,1293.360229
0.0,127,1321.841293
9.0,404,1418.918349
0.0,129,1447.899135
0.0,125,1476.085341
2.0,202,1522.736255
0.0,129,1551.579182
0.0,127,1580.076881
0.0,129,1609.196254
5.0,350,1694.59266
4.0,297,1764.807681
0.0,129,1794.002891
0.0,125,1822.439465
0.0,127,1850.630621
0.0,129,1879.697387
5.0,350,1962.64337
0.0,129,1991.485965
0.0,127,2019.714747
0.0,127,2048.473671
0.0,127,2077.315759
0.0,127,2105.957845
2.0,200,2152.423948
4.0,299,2222.889456
0.0,129,2251.41491
0.0,129,2280.585078
0.0,129,2309.351498
0.0,129,2338.471721
0.0,129,2367.067213
0.0,129,2395.864223
10.0,451,2504.650693
4.0,285,2571.408046
1.0,173,2610.654525
4.0,301,2683.347741
3.0,253,2742.996737
1.0,157,2778.368333
2.0,204,2825.282432
0.0,127,2853.335976
1.0,159,2888.86392
1.0,155,2923.906198
10.0,556,3058.370487
7.0,422,3160.353013
7.0,416,3259.991147
2.0,185,3301.771407
7.0,418,3401.468743
5.0,355,3486.394146
1.0,155,3520.797477
13.0,344,3602.08463
11.0,472,3714.917832
7.0,250,3774.022444
11.0,472,3888.303651
8.0,457,3998.138713
15.0,441,4102.781624
6.0,341,4184.619348
15.0,421,4285.341566
11.0,407,4382.440692
9.0,486,4499.583792
7.0,394,4593.163335
8.0,300,4663.894647
11.0,472,4778.036572
10.0,494,4895.275788
10.0,401,4991.36421
12.0,560,5124.876469
9.0,486,5239.932008
14.0,577,5380.440727
13.0,505,5501.710984
14.0,558,5634.761233
22.0,567,5769.248492
10.0,520,5893.650925
20.0,497,6012.181733
13.0,504,6132.715307
9.0,448,6238.675044
20.0,737,6416.130447
11.0,545,6545.319336
17.0,519,6668.667377
20.0,630,6820.347394
14.0,642,6976.27925
15.0,455,7083.201996
11.0,596,7225.202956
20.0,476,7337.848396
14.0,689,7504.910751
6.0,363,7589.526633
13.0,642,7744.270205
13.0,506,7864.914814
24.0,633,8017.668208
9.0,463,8128.01864
28.0,622,8277.431574
13.0,494,8396.346154
12.0,541,8524.516041
19.0,656,8682.526575
15.0,455,8789.995424
19.0,625,8941.096179
20.0,417,9039.275583
19.0,612,9186.094338
34.0,678,9347.859226
13.0,663,9506.711191
11.0,558,9639.187711
13.0,657,9795.85073
17.0,651,9951.001296
19.0,629,10100.473472
13.0,520,10223.655633
10.0,453,10331.281996
24.0,760,10513.862758
19.0,665,10672.999254
13.0,578,10810.010336
15.0,452,10916.824021
17.0,575,11053.870884
9.0,484,11167.949116
26.0,830,11367.414248
15.0,702,11533.289754
11.0,575,11671.424572
37.0,828,11870.426877
12.0,509,11992.274445
22.0,763,12174.681137
14.0,604,12316.957092
18.0,662,12473.32336
20.0,704,12643.475697
20.0,682,12807.883689
29.0,978,13044.410115
26.0,806,13238.419114
17.0,781,13424.97682
26.0,584,13563.116301
18.0,783,13750.685275
25.0,625,13901.092689
10.0,511,14022.512431
32.0,848,14224.023174
20.0,853,14427.733982
32.0,1030,14677.560323
27.0,823,14875.901524
23.0,856,15083.563444
21.0,797,15275.415653
10.0,482,15390.082975
16.0,595,15531.534061
21.0,891,15746.761542
19.0,807,15941.650289
18.0,756,16124.829772
11.0,608,16270.294076
27.0,803,16463.212527
35.0,891,16678.442373
23.0,727,16852.028892
31.0,866,17059.788596
21.0,870,17268.007423
23.0,757,17452.097458
21.0,790,17642.160421
20.0,808,17837.811039
20.0,738,18013.094107
28.0,751,18193.337761
25.0,889,18407.490928
22.0,761,18590.943797
37.0,960,18821.335042
32.0,1060,19075.768758
62.0,1300,19387.693914
41.0,1303,19703.753772
23.0,807,19897.045671
68.0,1018,20140.020838
36.0,998,20379.369058
17.0,742,20556.248405
20.0,746,20734.332873
35.0,832,20935.106758
43.0,891,21150.707076
53.0,1305,21464.345643
34.0,1087,21728.426733
71.0,1329,22049.407244
53.0,1261,22354.918849
20.0,826,22555.811715
40.0,1081,22815.328444
115.0,1455,23164.989666
45.0,1145,23440.308026
37.0,717,23611.258861
45.0,1247,23912.955005
31.0,705,24080.507303
39.0,732,24256.086968
259.0,1380,24592.112056
56.0,1503,24956.125397
87.0,1406,25297.942817
70.0,1310,25617.242514
100.0,1660,26020.230866
96.0,1440,26368.370441
32.0,888,26582.946725
146.0,1707,26998.415464
288.0,1897,27456.737575
95.0,1451,27807.712466
121.0,1446,28157.260813
139.0,1701,28567.006487
124.0,1565,28947.385338
92.0,1393,29284.778296
139.0,1501,29647.875731
256.0,1581,30028.584999
72.0,1139,30304.358823
262.0,1719,30721.547044
120.0,1813,31162.062982
300.0,1878,31617.456996
176.0,1768,32046.70202
114.0,1065,32302.356648
72.0,1566,32682.254953
159.0,1751,33104.617982
70.0,1311,33420.48509
97.0,1293,33731.327857
254.0,1798,34164.88463
77.0,1326,34483.958577
88.0,1479,34843.143613
199.0,1744,35263.663057
354.0,1865,35717.306505
78.0,1298,36027.216669
308.0,1638,36422.924812
106.0,1297,36737.264723
135.0,1653,37137.62053
36.0,911,37356.230832
127.0,1605,37743.814532
293.0,1880,38197.405364
280.0,1333,38518.962202
260.0,1602,38904.692204
309.0,1873,39356.814385
58.0,833,39556.839932
59.0,979,39792.428302
331.0,1450,40142.363087
63.0,1210,40430.759591
207.0,1410,40771.009642
287.0,1630,41165.207044
229.0,1276,41472.273819
280.0,1980,41949.496678
249.0,1911,42410.208182
255.0,1190,42699.756026
327.0,1621,43089.403649
117.0,1711,43503.115179
276.0,1805,43939.225084
315.0,2273,44489.728362
289.0,1007,44730.449213
313.0,1890,45187.341196
105.0,1329,45505.976946
98.0,1409,45847.569037
