# {"t_start": 1574337893.477837, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
4.0,296,88.322325
0.0,129,117.677193
1.0,153,152.771218
2.0,220,204.297638
6.0,379,295.807961
1.0,173,335.279045
1.0,177,377.074126
0.0,129,405.947209
1.0,158,442.057161
1.0,173,481.973683
0.0,127,510.330162
1.0,176,550.613999
5.0,372,641.181198
0.0,129,670.385393
0.0,129,699.550587
0.0,127,728.355078
0.0,125,755.163739
1.0,155,791.52374
2.0,202,837.905147
2.0,198,883.789657
0.0,127,912.553171
3.0,270,977.169187
0.0,129,1005.56089
2.0,202,1053.496858
0.0,129,1082.455224
1.0,173,1121.581543
1.0,155,1156.505705
9.0,404,1253.991862
10.0,452,1362.608399
0.0,127,1390.75666
2.0,202,1438.620119
0.0,129,1467.790176
0.0,129,1496.866519
9.0,380,1587.35722
5.0,350,1672.399956
0.0,129,1701.86123
0.0,127,1729.913835
5.0,350,1813.785408
0.0,127,1842.226836
0.0,127,1870.861032
5.0,350,1955.022515
0.0,127,1983.441242
0.0,125,2011.412645
0.0,127,2038.281723
0.0,127,2067.305123
0.0,129,2096.245295
5.0,326,2175.965657
0.0,127,2204.085945
10.0,452,2312.54297
0.0,127,2341.189297
0.0,127,2369.336231
4.0,299,2440.26221
9.0,404,2537.122631
0.0,129,2565.877769
1.0,155,2600.932882
2.0,203,2647.387194
3.0,218,2698.585302
2.0,205,2746.924294
2.0,205,2793.71907
2.0,221,2846.019392
0.0,127,2873.8039
5.0,334,2952.881114
7.0,377,3042.989616
3.0,216,3092.917719
4.0,264,3154.48817
1.0,155,3190.501003
0.0,129,3218.133909
6.0,399,3313.110132
3.0,229,3366.645802
8.0,440,3471.987289
6.0,400,3566.36152
6.0,352,3650.240409
12.0,513,3774.624726
8.0,444,3880.606673
9.0,421,3983.383817
9.0,439,4087.773528
8.0,424,4189.295885
8.0,467,4302.438572
16.0,668,4463.988029
18.0,687,4629.187096
2.0,226,4682.757517
9.0,311,4755.265124
6.0,383,4847.367847
9.0,482,4961.58467
16.0,464,5071.757526
5.0,366,5158.887197
26.0,740,5337.5616
20.0,474,5451.364827
6.0,347,5534.013356
26.0,551,5665.508883
8.0,318,5738.633027
21.0,652,5895.392974
15.0,674,6056.518524
5.0,349,6139.647012
16.0,645,6294.960287
13.0,484,6409.989003
9.0,531,6535.98593
12.0,612,6681.183616
13.0,599,6825.497983
14.0,534,6954.465045
15.0,456,7061.865919
10.0,473,7173.872809
8.0,441,7277.865413
24.0,771,7464.388376
15.0,708,7635.938392
20.0,479,7749.000935
16.0,688,7914.887426
