# {"t_start": 1574621378.3974578, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
3.0,251,66.624928
1.0,173,107.486863
0.0,129,135.103301
1.0,155,171.155273
0.0,129,198.039715
1.0,173,238.742216
0.0,127,267.218686
0.0,127,293.850269
0.0,129,322.370683
4.0,301,395.289985
1.0,173,434.22477
5.0,350,518.090669
3.0,248,575.319765
0.0,127,603.707088
3.0,230,657.812929
0.0,127,685.83439
2.0,198,731.32908
2.0,202,778.031806
5.0,369,866.120128
2.0,198,911.98216
0.0,129,940.205681
6.0,398,1036.371227
0.0,127,1064.642028
0.0,129,1093.245497
9.0,404,1189.886995
1.0,157,1225.510108
2.0,202,1271.311775
0.0,129,1300.196212
2.0,200,1347.51411
0.0,129,1374.751413
0.0,125,1402.521361
0.0,125,1430.652744
1.0,176,1470.862849
5.0,350,1554.918327
0.0,127,1582.87517
9.0,404,1679.678455
0.0,127,1707.862102
0.0,129,1736.114577
0.0,127,1764.342627
0.0,129,1793.023028
6.0,399,1888.601204
5.0,350,1970.520573
6.0,381,2061.885198
0.0,125,2089.267051
11.0,479,2205.092924
0.0,129,2232.313196
1.0,174,2272.840809
7.0,375,2361.802498
3.0,230,2413.635212
1.0,174,2453.164713
5.0,314,2528.539131
3.0,254,2587.902046
2.0,201,2633.390022
4.0,301,2703.511283
0.0,129,2732.090948
8.0,281,2797.500494
7.0,250,2856.049963
3.0,216,2906.409899
0.0,129,2935.051828
1.0,155,2969.468833
3.0,216,3017.59643
1.0,176,3057.701301
8.0,443,3162.339268
2.0,224,3213.829478
7.0,428,3314.958946
2.0,208,3361.78844
3.0,237,3416.572251
0.0,129,3444.592149
4.0,263,3506.38453
1.0,157,3541.363239
12.0,498,3661.634697
4.0,244,3718.797628
14.0,592,3860.641176
13.0,504,3980.246096
5.0,324,4054.568687
15.0,502,4173.593961
13.0,555,4305.951598
7.0,380,4396.708479
11.0,271,4461.009434
7.0,376,4550.370348
8.0,425,4652.208376
13.0,568,4790.591696
10.0,494,4909.189671
11.0,598,5053.706088
11.0,426,5155.41801
6.0,336,5235.944875
22.0,483,5350.665146
11.0,271,5414.844581
11.0,515,5538.781573
15.0,541,5669.361754
11.0,549,5803.700549
16.0,725,5978.356681
4.0,265,6038.282311
12.0,482,6152.658218
19.0,752,6331.553643
8.0,404,6425.719729
12.0,579,6561.355247
15.0,572,6695.530023
23.0,717,6867.204641
14.0,507,6987.150633
12.0,577,7121.721126
13.0,371,7208.22743
