# {"t_start": 1574621373.5736992, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
0.0,127,40.469697
3.0,272,104.743742
0.0,127,133.135174
1.0,155,168.130295
0.0,129,196.532432
7.0,445,304.676426
3.0,272,368.685299
0.0,129,397.631013
2.0,202,443.654891
4.0,298,513.603443
0.0,127,541.63227
0.0,129,570.760998
0.0,127,599.026955
0.0,129,628.040317
3.0,248,686.071259
0.0,129,715.01249
3.0,248,771.588155
6.0,378,862.923038
0.0,129,891.535629
2.0,202,938.069482
0.0,125,964.353305
0.0,127,993.288987
0.0,125,1021.206035
5.0,329,1100.062598
0.0,129,1128.799369
0.0,127,1155.258862
0.0,127,1183.387172
2.0,202,1231.373946
0.0,125,1258.784176
0.0,129,1287.703726
2.0,202,1334.171453
5.0,350,1418.398673
0.0,129,1447.102799
0.0,127,1474.350452
0.0,129,1503.070994
0.0,129,1531.478847
0.0,129,1560.568608
6.0,378,1650.936017
2.0,202,1696.864432
5.0,350,1780.499009
0.0,129,1809.159231
0.0,129,1838.11359
0.0,125,1865.779307
0.0,129,1894.279598
2.0,206,1940.741394
3.0,248,1999.166924
0.0,127,2027.544399
0.0,129,2056.116899
5.0,350,2138.467254
2.0,202,2185.308122
2.0,202,2231.403088
1.0,171,2271.567773
15.0,525,2396.420941
0.0,129,2423.520601
0.0,125,2451.447026
0.0,129,2479.962677
5.0,352,2564.211483
1.0,155,2599.016612
6.0,399,2693.799984
0.0,129,2722.08206
2.0,183,2763.136595
11.0,500,2883.288234
6.0,322,2958.659461
0.0,127,2986.620249
1.0,176,3025.374941
0.0,129,3053.25514
10.0,423,3154.31217
10.0,524,3278.739117
1.0,175,3318.02851
14.0,587,3457.387192
9.0,474,3571.799002
1.0,155,3606.691025
7.0,422,3707.311058
11.0,461,3818.912851
2.0,203,3864.174744
6.0,341,3944.577125
17.0,636,4095.695351
7.0,407,4191.024948
10.0,399,4285.943512
9.0,458,4394.426947
3.0,231,4449.146528
11.0,472,4561.453794
7.0,384,4653.618507
9.0,498,4773.920297
11.0,549,4906.900179
10.0,476,5021.423328
16.0,649,5178.955519
11.0,559,5312.899894
13.0,545,5444.896361
14.0,482,5560.90989
10.0,375,5650.852734
19.0,701,5820.745698
12.0,459,5931.521836
14.0,591,6070.733185
13.0,623,6219.374371
11.0,472,6328.847044
14.0,386,6418.991746
12.0,555,6550.50323
11.0,524,6673.758633
13.0,516,6793.63617
6.0,303,6865.271935
12.0,578,7001.520397
10.0,530,7125.436778
9.0,308,7196.288887
11.0,538,7325.122293
12.0,623,7470.77061
11.0,431,7573.264399
18.0,681,7734.812203
10.0,514,7855.072022
10.0,376,7942.203103
19.0,652,8095.770976
18.0,715,8266.691896
15.0,587,8403.243025
10.0,363,8487.795033
25.0,783,8673.635309
24.0,738,8850.395575
16.0,785,9038.593249
22.0,607,9182.921098
9.0,486,9298.803136
14.0,399,9392.65884
14.0,371,9481.265847
16.0,472,9592.879146
20.0,630,9742.805632
13.0,494,9860.786047
17.0,773,10046.446821
13.0,584,10183.776292
16.0,627,10333.927941
16.0,633,10484.707375
35.0,1020,10729.233208
18.0,647,10883.299964
12.0,552,11014.018075
15.0,630,11163.849883
20.0,659,11319.791978
9.0,476,11432.043351
31.0,929,11655.331367
14.0,552,11785.268847
12.0,646,11938.870781
23.0,745,12116.396517
15.0,711,12284.9914
33.0,721,12458.052079
18.0,542,12586.435384
22.0,806,12778.255008
9.0,436,12879.749072
31.0,940,13104.573647
25.0,856,13308.370995
23.0,701,13474.003705
28.0,787,13661.420293
22.0,838,13861.641389
23.0,878,14069.025546
30.0,866,14273.057655
26.0,905,14489.141074
30.0,956,14717.614687
23.0,716,14886.052838
52.0,1222,15175.490994
33.0,722,15346.443589
12.0,545,15474.740716
16.0,451,15580.52177
35.0,1081,15837.819747
24.0,829,16034.926841
26.0,817,16229.548217
36.0,968,16459.576453
43.0,1018,16703.094751
22.0,701,16866.371049
18.0,612,17009.169407
35.0,961,17237.310251
28.0,577,17375.209549
38.0,999,17612.290939
25.0,707,17778.882191
33.0,767,17959.180596
31.0,896,18171.551222
20.0,740,18345.979317
30.0,732,18519.871624
32.0,688,18681.271275
30.0,712,18851.32286
37.0,978,19082.556316
41.0,912,19299.324197
29.0,839,19499.353873
41.0,928,19720.846069
27.0,910,19936.167559
21.0,813,20127.262997
40.0,1010,20369.184278
40.0,1088,20627.79941
51.0,1337,20949.011926
19.0,781,21133.463352
33.0,1164,21413.082028
53.0,1224,21704.738953
31.0,826,21900.079399
39.0,1010,22143.526991
35.0,992,22380.304334
38.0,1039,22626.140218
20.0,817,22818.716252
44.0,1312,23130.899127
10.0,443,23233.308279
45.0,1252,23531.501907
38.0,1159,23808.208433
24.0,860,24014.503109
49.0,975,24244.513522
50.0,913,24461.081225
34.0,903,24675.419659
69.0,1347,24995.17452
75.0,1306,25306.767094
89.0,1434,25649.542969
51.0,964,25878.200339
58.0,1441,26222.138999
86.0,1532,26586.744899
240.0,1446,26930.641936
45.0,1153,27203.80294
98.0,1496,27558.151859
56.0,1038,27806.238014
42.0,1118,28069.619665
52.0,1264,28371.052827
58.0,969,28602.731158
82.0,1515,28963.502782
78.0,1423,29303.022816
95.0,1671,29703.319662
