# {"t_start": 1574621379.14571, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
1.0,175,48.199193
4.0,280,114.035984
4.0,242,171.099954
1.0,173,209.538759
0.0,125,237.782094
0.0,129,266.757802
3.0,252,324.210286
2.0,202,372.120798
0.0,129,400.867516
1.0,174,440.455655
12.0,523,566.782044
5.0,329,646.007976
0.0,129,672.995687
0.0,127,701.64622
5.0,352,785.522926
9.0,404,883.050325
2.0,200,927.9045
1.0,178,969.625789
2.0,200,1015.824684
5.0,352,1100.105652
4.0,297,1169.705909
9.0,404,1266.703038
2.0,202,1314.617922
0.0,125,1341.111939
0.0,127,1369.373906
0.0,129,1398.001632
1.0,173,1437.435762
5.0,350,1521.493139
2.0,202,1569.123435
2.0,202,1614.984631
0.0,127,1643.336644
0.0,127,1671.548959
0.0,129,1700.270292
2.0,202,1745.932772
9.0,404,1842.768948
11.0,482,1958.580762
0.0,127,1987.227486
7.0,449,2094.149519
10.0,453,2203.631933
4.0,299,2273.769062
2.0,204,2319.93117
11.0,497,2438.715213
3.0,218,2489.96775
4.0,266,2552.45641
4.0,247,2608.981128
6.0,373,2697.454077
1.0,157,2732.543337
1.0,155,2766.94651
1.0,155,2802.932084
2.0,206,2849.661067
20.0,598,2993.895588
7.0,250,3049.756998
1.0,155,3084.93626
2.0,204,3131.050002
4.0,247,3188.135775
18.0,605,3332.176093
2.0,209,3380.454482
3.0,232,3434.058392
0.0,129,3462.473849
12.0,302,3533.022769
1.0,173,3572.388844
0.0,129,3601.029998
1.0,157,3636.138624
14.0,580,3777.283652
1.0,176,3816.988824
4.0,279,3881.2921
11.0,271,3944.110465
9.0,457,4050.668865
9.0,495,4167.878597
10.0,526,4293.573462
15.0,525,4419.901868
15.0,531,4548.036205
12.0,302,4619.13767
17.0,787,4811.069151
4.0,263,4873.013753
13.0,483,4989.811486
16.0,576,5128.194206
12.0,521,5253.477581
13.0,530,5381.168434
10.0,479,5496.99354
9.0,494,5616.550331
9.0,499,5736.62005
10.0,506,5857.669345
16.0,591,5999.872558
14.0,657,6156.031348
17.0,667,6313.486503
12.0,563,6445.815125
8.0,443,6550.179682
14.0,365,6633.929601
12.0,606,6777.550345
13.0,619,6925.806357
18.0,488,7038.808309
10.0,522,7161.083367
19.0,744,7339.259132
17.0,652,7493.280182
8.0,435,7594.710017
13.0,531,7720.47483
12.0,531,7846.243721
10.0,479,7957.968234
17.0,784,8144.176836
17.0,681,8305.140083
28.0,544,8432.544816
15.0,579,8569.19406
12.0,592,8708.225005
19.0,657,8865.331959
11.0,537,8993.818371
15.0,670,9154.282456
16.0,466,9263.620739
13.0,641,9417.912626
25.0,597,9560.8715
11.0,426,9660.999825
14.0,619,9810.231459
13.0,621,9956.798096
18.0,741,10134.264648
11.0,391,10226.972908
27.0,843,10427.43246
13.0,370,10514.393983
21.0,702,10682.648994
16.0,592,10822.596206
15.0,693,10987.355242
20.0,743,11164.76145
10.0,452,11271.034504
12.0,608,11414.465281
23.0,588,11554.810109
34.0,910,11773.028445
22.0,797,11962.91678
15.0,557,12094.21205
16.0,448,12198.927586
20.0,744,12377.777423
24.0,799,12568.189954
15.0,640,12719.46397
32.0,932,12942.608853
17.0,504,13061.94103
17.0,596,13202.052385
23.0,848,13403.384989
23.0,815,13597.581501
7.0,371,13683.799412
26.0,724,13856.617226
20.0,719,14024.837209
19.0,794,14212.686375
19.0,820,14409.054
26.0,833,14606.591303
21.0,684,14768.442872
14.0,539,14893.304852
23.0,622,15039.017249
33.0,823,15234.750508
35.0,1024,15477.552431
29.0,910,15693.422306
15.0,660,15849.652313
18.0,718,16021.083032
21.0,612,16165.696656
10.0,491,16279.962858
24.0,578,16417.599656
30.0,654,16572.683428
20.0,760,16752.527517
28.0,747,16925.862717
41.0,759,17106.030537
20.0,738,17280.676877
20.0,553,17411.185065
30.0,834,17608.731306
33.0,867,17812.982031
19.0,730,17984.861064
36.0,1115,18249.510702
24.0,795,18438.217061
21.0,711,18606.97918
18.0,691,18769.726071
52.0,1002,19008.756993
37.0,885,19218.31422
44.0,1123,19485.491387
24.0,692,19650.366683
30.0,985,19883.832362
31.0,973,20114.470263
16.0,706,20282.83205
34.0,846,20484.309142
11.0,430,20584.48915
53.0,916,20803.293991
28.0,888,21014.636168
53.0,1219,21305.956438
