# {"t_start": 1574621379.0882409, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
0.0,129,35.677686
0.0,129,64.146244
1.0,157,99.90106
2.0,185,143.548607
0.0,129,172.114915
10.0,435,276.024002
0.0,129,305.015283
0.0,127,332.843314
0.0,127,361.415625
3.0,271,425.125213
0.0,129,454.447081
0.0,125,480.262039
5.0,368,568.65881
4.0,321,646.051537
0.0,125,672.175233
0.0,127,700.643288
0.0,127,729.02492
0.0,125,756.439314
0.0,127,784.315767
2.0,202,830.971248
2.0,202,878.67438
0.0,129,906.765994
4.0,299,977.157028
2.0,200,1023.29402
5.0,350,1106.945183
2.0,202,1154.037932
0.0,127,1180.865355
2.0,202,1228.893904
2.0,198,1273.645455
0.0,127,1302.093792
2.0,200,1349.60077
0.0,127,1377.644793
9.0,404,1475.230149
2.0,202,1520.799262
2.0,202,1568.424898
4.0,299,1638.740101
0.0,127,1667.177174
0.0,127,1695.220745
0.0,129,1722.191376
1.0,175,1763.266006
2.0,202,1809.328901
0.0,129,1838.094061
0.0,127,1866.407228
9.0,404,1962.29869
7.0,422,2063.377768
1.0,178,2103.13713
0.0,129,2132.393096
0.0,129,2160.684123
1.0,175,2200.075381
0.0,127,2228.498091
2.0,204,2276.043286
3.0,237,2331.146047
5.0,350,2412.4714
0.0,129,2441.181943
5.0,352,2525.749884
0.0,129,2554.181888
1.0,157,2589.33863
1.0,174,2628.500723
8.0,279,2693.574514
8.0,297,2762.670473
1.0,157,2797.733416
3.0,216,2848.271472
3.0,251,2906.895343
0.0,125,2934.642178
1.0,174,2973.494114
0.0,129,3001.63279
4.0,325,3075.746053
0.0,129,3104.231375
13.0,459,3213.763368
14.0,629,3363.392986
1.0,174,3403.431087
7.0,418,3502.568706
1.0,153,3536.60695
2.0,204,3583.425219
15.0,591,3726.578326
10.0,380,3817.790194
6.0,350,3898.574134
12.0,304,3970.283334
17.0,598,4110.842129
2.0,203,4157.939255
7.0,418,4256.638958
7.0,365,4343.038776
11.0,271,4407.027045
4.0,260,4468.81444
16.0,611,4615.215139
11.0,558,4749.992018
8.0,447,4858.291614
20.0,598,5002.220184
6.0,320,5078.694435
12.0,577,5217.806217
10.0,505,5338.895327
8.0,418,5439.558213
8.0,455,5548.976161
19.0,587,5690.532286
11.0,506,5813.012952
15.0,599,5958.043552
14.0,570,6091.94987
11.0,372,6179.575674
12.0,588,6317.300803
21.0,703,6484.271587
33.0,925,6704.4275
14.0,573,6839.697823
11.0,493,6956.524382
7.0,448,7060.515232
9.0,480,7173.419637
13.0,352,7254.642979
26.0,626,7402.990431
12.0,613,7548.758095
19.0,530,7673.4699
9.0,490,7789.53274
13.0,635,7939.907757
17.0,777,8122.60197
12.0,541,8251.659401
10.0,539,8377.306342
15.0,582,8513.429993
10.0,515,8634.837878
11.0,558,8766.473154
17.0,784,8954.265909
17.0,650,9109.525416
17.0,657,9266.759517
26.0,842,9471.273658
31.0,836,9671.045006
16.0,629,9821.974396
16.0,618,9969.795908
21.0,674,10129.902083
14.0,606,10275.492796
23.0,761,10455.735391
23.0,657,10611.717821
8.0,456,10720.075427
17.0,514,10841.877082
20.0,431,10943.112815
23.0,632,11093.796911
25.0,630,11242.107551
15.0,454,11348.97965
26.0,850,11552.354851
19.0,693,11717.792891
18.0,587,11856.083123
23.0,811,12050.385022
18.0,674,12210.194094
13.0,641,12363.465902
33.0,675,12523.959515
34.0,633,12673.790122
23.0,768,12857.254465
21.0,675,13017.36436
17.0,655,13171.893335
18.0,544,13300.479733
20.0,748,13478.564609
21.0,647,13632.284749
25.0,783,13818.241864
19.0,773,13999.208969
19.0,776,14183.013263
17.0,808,14375.458742
19.0,673,14534.813619
30.0,733,14707.451765
25.0,544,14837.536338
23.0,879,15042.358441
25.0,772,15224.868442
18.0,786,15411.571526
29.0,854,15614.396273
12.0,539,15741.458345
24.0,733,15916.200527
28.0,706,16082.170018
39.0,1101,16344.180683
25.0,881,16554.927336
18.0,698,16721.313637
27.0,911,16934.486234
28.0,852,17136.033201
16.0,627,17283.810362
26.0,900,17499.783631
34.0,817,17691.368701
32.0,853,17892.005406
44.0,1099,18153.021417
38.0,1037,18400.178424
26.0,765,18581.826864
38.0,876,18789.455467
32.0,1036,19036.310091
45.0,1089,19294.706207
28.0,710,19463.493621
22.0,782,19649.044553
56.0,1397,19980.226115
36.0,977,20214.245021
49.0,1244,20511.236289
42.0,1071,20768.645908
40.0,641,20920.313311
31.0,829,21116.311778
33.0,1031,21363.301694
18.0,669,21521.618229
40.0,997,21758.987859
23.0,688,21920.940025
38.0,1102,22186.841414
22.0,780,22370.138892
42.0,963,22598.785134
52.0,1409,22934.212398
24.0,769,23116.398221
28.0,715,23283.136678
34.0,866,23488.946418
43.0,886,23700.369808
23.0,779,23883.624688
55.0,1083,24143.373793
53.0,1301,24452.530528
30.0,815,24645.485984
51.0,1475,24997.367858
53.0,1409,25332.381062
38.0,1115,25597.180724
49.0,961,25827.722023
44.0,902,26042.073499
81.0,1568,26414.330383
267.0,1347,26733.835297
68.0,1490,27089.591367
58.0,935,27309.881885
98.0,1797,27737.266169
38.0,894,27949.820166
48.0,1160,28225.322661
54.0,1253,28523.416003
42.0,1088,28782.425649
99.0,1653,29177.933673
71.0,1296,29485.846424
94.0,1550,29857.272263
60.0,1371,30185.627969
80.0,1338,30505.603307
104.0,1548,30878.099087
71.0,1116,31146.2752
27.0,989,31381.295529
97.0,1508,31740.035865
