# {"t_start": 1574621378.2145636, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
0.0,127,35.981193
0.0,129,64.464163
3.0,269,128.365003
0.0,127,156.744092
1.0,175,195.939473
0.0,125,223.42681
5.0,349,307.777636
2.0,200,353.092263
0.0,129,381.839558
0.0,127,410.294545
2.0,206,458.977413
0.0,129,487.023502
1.0,171,525.907543
0.0,125,553.618273
4.0,301,625.149328
2.0,200,670.315566
0.0,129,699.290795
0.0,125,727.284348
2.0,200,773.62318
0.0,129,801.02419
5.0,350,885.562225
0.0,129,913.849922
11.0,499,1034.894084
3.0,248,1093.234326
0.0,127,1119.826885
2.0,198,1166.040251
0.0,129,1195.143523
0.0,129,1223.964422
0.0,125,1251.426222
4.0,299,1322.451342
3.0,246,1380.314968
2.0,202,1426.81965
0.0,125,1454.627128
11.0,499,1575.389711
9.0,404,1672.163856
5.0,350,1754.484726
0.0,127,1782.49956
0.0,127,1810.83004
0.0,129,1839.674902
0.0,129,1868.341678
9.0,404,1964.307423
9.0,382,2056.155064
3.0,230,2109.530974
2.0,200,2155.099901
2.0,204,2202.752954
2.0,202,2249.08798
1.0,155,2283.442259
3.0,218,2334.000607
0.0,127,2361.96944
1.0,175,2400.829847
4.0,297,2470.872351
13.0,513,2594.526432
17.0,604,2740.289094
8.0,469,2851.519877
4.0,263,2912.98048
7.0,248,2970.803626
5.0,295,3038.516402
13.0,566,3172.933658
2.0,206,3220.306455
12.0,500,3339.898127
14.0,582,3478.135719
4.0,260,3538.911585
5.0,350,3622.744525
3.0,213,3671.384637
12.0,521,3797.111067
4.0,245,3853.859249
11.0,400,3947.875224
4.0,295,4016.004371
12.0,498,4133.455745
12.0,428,4234.290216
13.0,548,4365.613911
13.0,474,4481.018641
6.0,324,4556.367092
2.0,186,4599.935519
7.0,398,4695.716789
16.0,528,4823.227946
9.0,506,4945.708439
23.0,742,5124.607815
17.0,717,5298.71655
20.0,559,5434.117347
15.0,577,5572.870923
