# {"t_start": 1575202321.3719745, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
365.0,2662,714.519813
41.0,1065,992.400629
142.0,1513,1389.907214
163.0,1722,1843.47953
39.0,960,2098.338253
242.0,1866,2592.756389
426.0,2911,3364.459791
466.0,4375,4526.939315
387.0,2436,5174.24067
337.0,1930,5686.998772
363.0,2827,6439.823628
388.0,2298,7050.734888
166.0,1574,7466.735975
411.0,2234,8058.463885
370.0,2418,8714.257608
404.0,2172,9287.525265
370.0,2068,9831.781845
42.0,1092,10116.889156
377.0,1974,10638.169867
434.0,4915,11938.345508
345.0,1894,12439.07542
436.0,4358,13592.378879
413.0,1848,14087.310522
402.0,3490,15024.172648
424.0,4576,16255.274463
430.0,2805,17009.876075
376.0,2247,17611.111048
433.0,5140,18993.536183
409.0,2682,19711.700704
327.0,1306,20059.160255
419.0,2313,20676.914815
24.0,765,20879.824118
424.0,4026,21958.384332
399.0,5470,23422.743273
409.0,4030,24500.361482
431.0,2886,25269.656069
418.0,3504,26201.87393
442.0,3992,27253.903237
408.0,2103,27805.14451
