# {"t_start": 1575202324.8527117, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
22.0,815,224.349004
29.0,923,463.3818
36.0,884,693.981488
428.0,3204,1539.83273
351.0,1991,2066.509386
22.0,773,2269.842567
277.0,1756,2736.039644
342.0,2064,3280.652299
410.0,2626,3974.751237
423.0,1563,4389.060378
424.0,3038,5197.587602
290.0,2555,5878.87014
268.0,1906,6383.717984
433.0,2897,7153.92032
335.0,2178,7733.170281
405.0,2812,8494.20144
431.0,2856,9248.541453
329.0,2131,9808.448279
424.0,2786,10544.038715
834.0,6238,12197.203222
198.0,1532,12601.373117
120.0,1639,13031.564157
133.0,1427,13406.447652
403.0,2629,14110.802566
334.0,1722,14570.743418
423.0,5648,16089.499444
256.0,1327,16444.1213
432.0,5263,17861.339973
400.0,2476,18526.570878
377.0,2398,19166.592576
424.0,2345,19794.272778
425.0,3877,20834.764616
403.0,2686,21552.028516
425.0,3410,22466.130292
428.0,3336,23356.736981
398.0,2209,23945.128989
485.0,4135,25050.455273
378.0,2403,25689.256475
422.0,3268,26552.211991
428.0,4106,27635.897935
