# {"t_start": 1575202323.0035837, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
328.0,1614,435.910872
94.0,1356,789.889143
381.0,2351,1410.577815
404.0,2665,2116.652566
387.0,2047,2659.952806
87.0,1506,3057.96921
374.0,2233,3648.061457
112.0,1065,3928.025378
345.0,1873,4424.122697
484.0,3282,5297.568072
418.0,3836,6320.407034
75.0,1249,6650.893077
425.0,3069,7466.936498
158.0,1709,7920.178421
404.0,2185,8513.074016
372.0,1773,8980.76599
404.0,1788,9451.217943
421.0,2576,10130.468948
342.0,1649,10564.72945
348.0,1832,11046.338098
132.0,1604,11467.39651
399.0,1886,11965.664521
416.0,2243,12557.979336
291.0,1722,13012.646715
401.0,2305,13619.678516
328.0,2262,14227.63061
346.0,1922,14742.089489
428.0,3169,15592.66254
79.0,1041,15869.631934
373.0,2089,16430.05134
377.0,2294,17046.31779
420.0,2746,17782.657846
383.0,2796,18533.831022
431.0,2818,19288.523461
408.0,2256,19891.314204
345.0,2329,20513.398967
422.0,2543,21194.237886
403.0,3125,22031.676626
784.0,3739,23030.394938
326.0,2391,23667.653958
407.0,2329,24289.554337
428.0,7211,26214.33181
