# {"t_start": 1574172125.1208405, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
1.0,173,45.182486
2.0,202,80.80089
1.0,173,110.787752
1.0,153,138.325213
0.0,125,157.860849
0.0,127,179.090955
0.0,129,200.956906
0.0,129,223.525076
1.0,178,254.577921
2.0,220,294.533744
4.0,299,348.958219
3.0,248,393.951143
0.0,125,415.527664
0.0,123,436.65024
0.0,129,458.546096
1.0,176,488.353931
2.0,221,527.927073
4.0,277,578.154269
0.0,127,597.72179
0.0,129,619.733941
2.0,202,656.31445
9.0,404,729.682605
5.0,350,793.12971
2.0,198,827.036034
2.0,202,861.302081
0.0,125,882.488972
0.0,127,903.718081
0.0,127,924.778787
6.0,397,998.751623
9.0,404,1072.662449
2.0,200,1107.7184
5.0,350,1170.822063
0.0,127,1192.577976
2.0,200,1227.264742
0.0,125,1248.491175
2.0,200,1284.86921
3.0,248,1329.7827
0.0,129,1350.918597
6.0,400,1422.186312
0.0,127,1441.961818
5.0,350,1505.702424
0.0,127,1527.158845
0.0,127,1548.198102
1.0,157,1574.730722
3.0,217,1612.949749
1.0,157,1639.533746
9.0,382,1709.350476
0.0,129,1730.007179
7.0,250,1774.14671
0.0,129,1795.710933
1.0,155,1822.530732
1.0,178,1853.808954
5.0,299,1906.906595
0.0,129,1927.989794
7.0,248,1972.762851
5.0,329,2030.438886
6.0,379,2098.709759
4.0,279,2148.08649
2.0,185,2179.069602
7.0,248,2222.930589
3.0,249,2267.013075
3.0,252,2311.118376
6.0,341,2370.062233
10.0,454,2452.235077
14.0,423,2526.674616
8.0,476,2612.122636
7.0,390,2680.123307
9.0,485,2767.306023
19.0,812,2912.961018
11.0,390,2982.870345
12.0,460,3064.75452
12.0,647,3178.630436
18.0,528,3272.234463
17.0,485,3357.334366
24.0,617,3468.093554
8.0,391,3536.482313
22.0,736,3667.151221
23.0,747,3800.027183
11.0,561,3900.509099
29.0,692,4024.415182
13.0,589,4130.448226
16.0,448,4210.350796
25.0,939,4378.40262
12.0,530,4473.527236
27.0,540,4568.938
13.0,658,4686.395679
12.0,503,4776.638863
29.0,984,4955.91065
13.0,607,5063.25564
29.0,729,5196.166609
36.0,896,5355.390026
22.0,694,5478.578099
15.0,655,5594.47946
25.0,906,5758.585888
16.0,744,5892.017171
22.0,439,5968.226659
12.0,537,6062.44665
21.0,677,6181.946605
35.0,1008,6364.614766
14.0,614,6475.506457
27.0,891,6635.162274
59.0,1303,6867.799666
19.0,653,6984.755275
23.0,661,7103.614362
50.0,1340,7344.326949
41.0,1181,7558.422446
30.0,823,7707.125827
50.0,1141,7909.946805
38.0,729,8039.338053
51.0,1247,8264.415384
39.0,1016,8445.619255
47.0,1185,8657.598467
35.0,1018,8836.254273
27.0,511,8925.162534
70.0,1219,9142.083679
54.0,1248,9365.978485
58.0,1418,9618.970222
71.0,1226,9837.650391
46.0,1121,10039.945762
47.0,1016,10218.497776
91.0,1466,10484.048236
45.0,786,10624.347625
223.0,1095,10821.146147
66.0,1104,11017.632785
56.0,1143,11220.126468
69.0,995,11398.606053
345.0,1266,11625.505253
63.0,1152,11832.467016
64.0,1195,12044.126823
99.0,1307,12279.654038
51.0,1148,12484.851037
34.0,1053,12672.601009
71.0,1444,12931.198048
66.0,1272,13158.35859
61.0,1433,13413.91024
174.0,1808,13735.26095
288.0,1419,13990.362594
80.0,1398,14240.961618
65.0,1450,14499.029978
78.0,1268,14722.534718
113.0,1347,14962.107307
68.0,1334,15200.271285
291.0,1652,15496.642247
71.0,1382,15741.609158
258.0,1722,16050.59093
318.0,1911,16392.958993
265.0,1773,16711.938557
330.0,2087,17084.902094
254.0,1723,17389.803138
74.0,1313,17623.523232
242.0,1703,17927.202487
83.0,1585,18209.239855
315.0,1399,18459.522218
255.0,1394,18708.814349
364.0,1939,19056.874442
128.0,1615,19343.094743
267.0,1619,19633.094238
77.0,1028,19814.62195
328.0,1919,20156.926775
326.0,1727,20464.001854
329.0,1984,20819.285817
341.0,1550,21094.508907
366.0,2144,21477.09854
306.0,1736,21786.602458
236.0,1685,22087.298612
144.0,1499,22351.84709
242.0,1685,22651.254648
310.0,1718,22959.071285
333.0,1487,23223.134575
274.0,1995,23580.842471
277.0,1546,23857.594341
122.0,1519,24126.930018
352.0,1892,24465.858566
260.0,1957,24812.362345
367.0,2414,25243.323693
141.0,1593,25527.591655
332.0,1970,25877.065957
387.0,2079,26248.062236
358.0,2055,26614.075272
396.0,2139,26990.816496
346.0,2412,27420.191161
354.0,1215,27633.42642
341.0,1861,27962.718257
344.0,2069,28333.354228
382.0,2007,28686.394335
363.0,2083,29057.354316
393.0,1943,29401.918229
287.0,1796,29719.242756
358.0,2279,30122.430632
423.0,2274,30524.354228
423.0,2345,30940.106859
396.0,2118,31316.043241
386.0,1502,31581.139112
305.0,1739,31887.486829
423.0,2619,32348.594463
295.0,1392,32594.358081
425.0,3076,33137.550557
428.0,2970,33662.646044
310.0,2039,34023.813748
409.0,1882,34356.642252
370.0,2361,34772.099232
425.0,3411,35372.211117
430.0,5515,36349.298388
