# {"t_start": 1574172123.5880828, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
4.0,257,62.000397
0.0,125,83.612061
0.0,127,105.308039
0.0,129,127.42001
4.0,301,180.588034
0.0,127,202.064037
0.0,129,224.612103
1.0,155,251.6041
0.0,125,272.932019
0.0,125,294.332332
3.0,271,343.952137
2.0,202,379.588228
4.0,276,429.772635
0.0,125,450.604227
1.0,176,482.052026
0.0,129,501.964154
2.0,198,538.328684
5.0,329,596.804426
5.0,350,661.348094
0.0,129,683.31203
0.0,129,705.015803
9.0,404,778.208402
9.0,404,850.760437
9.0,404,923.396436
0.0,127,945.032309
0.0,127,966.976162
9.0,404,1042.132439
2.0,202,1076.764031
0.0,125,1097.47625
2.0,202,1134.148023
0.0,125,1153.920369
0.0,125,1174.796385
2.0,198,1210.668578
2.0,202,1245.632304
0.0,127,1267.436106
0.0,129,1289.756032
0.0,129,1311.612049
0.0,127,1333.368376
2.0,198,1366.784454
5.0,350,1429.292053
3.0,234,1470.692466
0.0,127,1490.648231
1.0,155,1518.524298
6.0,382,1586.112035
1.0,172,1616.267523
4.0,285,1667.355965
1.0,157,1694.056421
13.0,456,1776.344033
16.0,526,1872.304284
3.0,234,1913.784022
1.0,155,1939.764135
8.0,439,2018.602054
12.0,520,2112.964516
16.0,552,2214.484503
3.0,252,2257.632114
13.0,549,2357.080006
10.0,483,2442.764132
5.0,319,2499.600437
10.0,495,2586.416462
9.0,455,2668.492432
17.0,621,2780.48404
9.0,487,2866.812029
9.0,510,2958.416715
19.0,738,3090.848626
8.0,426,3164.284141
17.0,631,3276.280053
15.0,558,3375.368647
13.0,575,3478.860452
10.0,396,3548.034028
14.0,683,3668.276753
18.0,639,3782.800606
11.0,497,3869.856068
16.0,625,3981.868041
19.0,698,4108.002275
15.0,562,4208.812433
26.0,625,4319.300034
34.0,788,4462.25245
21.0,623,4572.000665
10.0,512,4662.81205
20.0,709,4791.356414
21.0,743,4924.780231
18.0,780,5064.976515
26.0,901,5228.256489
23.0,862,5382.280322
21.0,724,5509.960451
49.0,763,5647.272313
34.0,545,5744.772446
29.0,839,5895.352429
16.0,616,6004.784126
20.0,475,6087.164104
26.0,807,6230.076488
29.0,984,6408.656995
28.0,894,6569.828436
36.0,867,6724.936052
31.0,843,6874.340546
32.0,907,7038.26426
38.0,748,7172.334488
36.0,817,7318.368516
33.0,980,7496.528616
57.0,1177,7708.452237
25.0,753,7841.65713
37.0,989,8017.744315
48.0,1190,8231.440297
30.0,913,8395.03222
28.0,610,8503.790651
27.0,856,8654.044652
34.0,997,8830.572467
33.0,678,8949.512026
64.0,1132,9150.309507
53.0,1017,9332.296611
46.0,1151,9537.668335
29.0,913,9700.924784
28.0,595,9804.15263
23.0,508,9894.123012
226.0,1309,10127.708249
51.0,1021,10309.996536
44.0,1039,10497.148513
34.0,974,10672.508636
53.0,1178,10884.024046
83.0,1542,11158.000251
50.0,1246,11381.664066
38.0,1075,11574.404006
76.0,1115,11773.312054
48.0,869,11928.028653
48.0,863,12080.860592
98.0,1420,12338.756147
267.0,1337,12576.609942
206.0,1909,12919.696444
192.0,1454,13178.284432
106.0,1666,13475.916049
97.0,1352,13715.000346
105.0,1407,13967.552654
131.0,1596,14255.136275
68.0,1253,14477.328052
312.0,1631,14765.636107
212.0,1164,14973.208265
144.0,1665,15270.524323
106.0,1608,15557.080631
81.0,1555,15835.868078
117.0,1562,16114.604548
129.0,1362,16359.356493
82.0,1458,16620.532076
120.0,1629,16911.482533
320.0,2175,17298.316411
363.0,1871,17631.564317
107.0,1358,17874.368447
267.0,1565,18151.744328
140.0,1704,18457.240436
162.0,1448,18715.432676
302.0,1776,19034.960103
152.0,1584,19315.752525
154.0,1613,19604.236241
327.0,1552,19880.204481
292.0,1950,20227.296439
57.0,1044,20412.604448
280.0,1828,20738.600464
267.0,2067,21106.912255
312.0,1755,21421.252406
332.0,1433,21675.372199
360.0,2028,22038.252352
332.0,2058,22402.484562
308.0,1535,22674.61244
334.0,1752,22988.848511
293.0,1805,23310.68834
286.0,2170,23699.920271
164.0,1371,23943.756122
344.0,1861,24276.70462
344.0,2142,24657.721319
413.0,2337,25075.435645
339.0,1738,25384.156072
181.0,1557,25660.420575
324.0,1965,26007.924467
368.0,1823,26333.920073
121.0,1413,26584.82862
420.0,2907,27100.988577
372.0,2095,27473.284711
416.0,2697,27949.400055
369.0,1890,28288.092048
359.0,2328,28699.866236
272.0,1901,29037.776225
414.0,1736,29343.828413
331.0,2265,29746.428628
396.0,8033,31174.212144
388.0,1933,31515.904425
291.0,1026,31697.892529
396.0,2495,32137.192411
326.0,2070,32501.796624
389.0,1848,32825.68443
390.0,2186,33212.324578
420.0,2677,33685.636422
396.0,2277,34089.473713
119.0,1583,34369.604196
441.0,2524,34812.496659
372.0,2332,35223.268598
358.0,2464,35657.072385
312.0,1851,35982.744616
403.0,2040,36343.972426
409.0,1883,36676.620409
366.0,2339,37087.748586
338.0,1951,37430.944514
