# {"t_start": 1574172125.5762289, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
0.0,125,34.068336
1.0,177,67.279154
1.0,155,94.006368
0.0,125,115.449817
2.0,201,149.744625
0.0,127,171.083901
1.0,155,197.369711
0.0,127,219.397825
2.0,204,255.403493
0.0,127,277.032531
0.0,129,299.430342
0.0,129,321.660727
2.0,202,358.415646
4.0,277,408.577835
4.0,297,462.516945
3.0,248,505.933489
0.0,129,528.225322
0.0,125,548.637844
5.0,350,612.175472
4.0,297,666.009858
0.0,127,687.303414
4.0,297,739.981378
0.0,125,761.032637
5.0,350,824.508481
2.0,202,858.75266
0.0,129,880.628631
0.0,125,901.475671
0.0,127,922.561973
2.0,202,957.742404
2.0,200,994.682117
5.0,350,1059.180764
0.0,127,1079.191157
0.0,125,1099.916519
0.0,127,1121.805687
5.0,350,1185.935062
0.0,129,1207.741399
0.0,129,1229.67522
4.0,297,1283.511954
0.0,127,1305.248255
0.0,127,1327.035427
0.0,125,1346.382982
10.0,431,1424.403593
12.0,548,1524.146945
0.0,125,1545.021154
4.0,275,1593.652993
4.0,302,1647.113171
2.0,204,1682.660301
5.0,311,1739.353002
1.0,176,1769.196948
5.0,315,1825.532821
2.0,206,1861.544595
2.0,203,1896.440609
11.0,472,1982.972909
2.0,204,2017.020347
13.0,572,2121.90356
3.0,255,2167.010004
14.0,401,2239.297859
17.0,601,2346.624811
8.0,296,2399.024894
8.0,452,2480.032646
9.0,497,2567.997149
15.0,502,2658.454941
7.0,380,2724.941966
17.0,519,2817.082467
8.0,428,2893.976623
10.0,494,2981.913477
11.0,408,3053.422341
9.0,511,3143.723535
21.0,742,3275.694396
8.0,403,3346.969374
18.0,518,3439.370172
9.0,470,3521.192812
10.0,524,3613.548583
11.0,573,3715.933436
12.0,591,3819.97717
21.0,692,3944.57856
8.0,458,4025.550058
10.0,493,4113.889364
19.0,650,4230.672842
27.0,554,4327.965941
22.0,616,4440.069687
20.0,641,4554.60981
20.0,655,4670.812145
22.0,591,4776.54933
14.0,687,4900.765296
20.0,815,5047.748924
28.0,882,5206.908243
19.0,672,5326.920894
20.0,601,5432.693243
21.0,745,5565.085243
14.0,653,5683.344959
11.0,533,5777.634084
36.0,1041,5963.941205
26.0,938,6130.889361
11.0,527,6223.261264
42.0,911,6387.769245
18.0,513,6480.401896
24.0,494,6567.521067
34.0,857,6719.707025
22.0,755,6853.512657
23.0,784,6994.830268
17.0,621,7106.35289
43.0,783,7245.530806
31.0,1080,7441.249354
23.0,749,7575.353829
29.0,850,7729.033054
25.0,630,7839.890132
37.0,943,8008.276644
39.0,1128,8210.21486
48.0,1117,8410.789248
40.0,1123,8611.093067
20.0,751,8742.688624
49.0,1087,8935.412882
53.0,1295,9165.741445
43.0,1326,9403.64939
42.0,1156,9609.41182
50.0,1078,9800.869172
50.0,871,9956.31739
52.0,1205,10170.989022
43.0,764,10306.96914
37.0,1147,10514.037323
69.0,1402,10767.121039
54.0,1217,10983.662356
50.0,797,11123.628924
44.0,965,11297.846093
87.0,1605,11584.946085
63.0,1384,11834.149408
77.0,1350,12073.209094
64.0,1266,12302.789725
53.0,1404,12554.510705
70.0,1273,12782.585157
58.0,1474,13044.799454
77.0,1480,13309.37366
61.0,1243,13529.69582
112.0,1679,13829.652978
58.0,1227,14050.014196
145.0,1693,14353.281445
89.0,1434,14606.197189
93.0,1385,14853.0615
50.0,989,15028.12674
110.0,1480,15293.137486
75.0,1352,15532.761195
155.0,1761,15849.186274
263.0,1922,16194.576956
111.0,1395,16444.601114
287.0,1490,16710.309196
337.0,1408,16961.010071
143.0,1621,17248.926479
182.0,1542,17521.389826
299.0,1830,17850.141423
182.0,1908,18188.485909
224.0,1598,18475.960882
337.0,1897,18815.002184
180.0,1834,19143.613812
324.0,1732,19452.081433
310.0,1442,19708.568738
375.0,1858,20040.94894
292.0,1887,20375.335325
261.0,1353,20617.381976
349.0,1971,20969.149032
252.0,1641,21261.13831
27.0,950,21429.4297
173.0,1856,21760.74126
234.0,1863,22092.489078
351.0,2353,22511.774146
343.0,2263,22915.277154
94.0,982,23089.093684
311.0,1677,23387.900911
62.0,1119,23587.672839
261.0,1753,23902.161751
246.0,1424,24155.814293
375.0,1860,24487.677089
296.0,1707,24789.485229
83.0,1403,25039.673266
331.0,1859,25371.681018
359.0,1848,25699.049331
334.0,1671,25994.325665
132.0,1467,26256.657871
305.0,1248,26478.309238
370.0,1891,26812.637331
126.0,1477,27073.712945
427.0,2526,27522.916649
360.0,1300,27750.697539
327.0,1873,28082.836584
381.0,2368,28503.677787
373.0,2399,28930.921451
111.0,1286,29157.764742
379.0,1825,29481.370119
336.0,1747,29790.797322
304.0,2210,30180.779239
407.0,2053,30543.201423
375.0,2052,30907.716187
308.0,4551,31716.944658
190.0,1488,31976.372823
415.0,2158,32356.365608
392.0,2087,32724.10996
418.0,3166,33283.586031
319.0,1857,33613.032812
424.0,2444,34045.081127
207.0,1491,34308.83357
357.0,1693,34605.852887
410.0,2153,34985.689044
362.0,4291,35740.508906
404.0,2108,36113.737214
415.0,2847,36618.973284
404.0,3501,37235.014239
