# {"t_start": 1574172128.6822436, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
2.0,204,47.233463
3.0,249,92.809654
2.0,183,124.533148
2.0,202,160.267514
0.0,127,180.330296
2.0,188,214.3174
1.0,173,244.901218
1.0,171,274.360751
0.0,127,296.416157
5.0,350,361.413351
2.0,198,395.761722
1.0,173,427.820121
2.0,198,461.907816
0.0,129,483.296034
2.0,200,517.652515
0.0,125,539.562956
2.0,200,575.363317
0.0,127,595.003398
1.0,173,626.309402
0.0,129,648.287297
2.0,202,683.367085
0.0,129,705.038547
5.0,350,768.830612
0.0,129,790.166935
0.0,127,810.247068
0.0,127,831.38394
2.0,200,866.879068
3.0,268,914.108548
0.0,127,935.498713
2.0,200,971.168536
2.0,200,1007.756462
0.0,127,1028.573476
0.0,129,1050.125315
0.0,125,1071.056343
2.0,198,1105.892886
10.0,408,1180.923404
0.0,127,1202.24227
0.0,127,1222.758043
0.0,127,1244.248839
5.0,350,1308.892528
0.0,129,1331.011929
0.0,127,1351.923986
0.0,127,1372.883417
2.0,224,1410.77941
5.0,350,1474.125684
2.0,185,1505.68619
9.0,404,1578.674012
0.0,129,1600.115205
3.0,254,1645.159158
2.0,222,1685.181873
5.0,291,1737.011827
11.0,441,1816.605394
3.0,228,1856.756932
12.0,445,1936.676192
2.0,201,1973.055097
3.0,216,2009.513515
2.0,188,2043.020333
5.0,350,2104.328818
2.0,228,2144.975125
7.0,248,2188.535128
5.0,326,2246.290005
9.0,461,2329.39243
15.0,432,2405.166545
4.0,287,2455.940183
4.0,283,2504.927836
9.0,480,2590.916463
5.0,345,2651.120011
9.0,472,2736.304001
4.0,270,2782.680775
16.0,504,2873.191475
14.0,552,2972.161352
18.0,503,3061.282758
13.0,494,3148.352328
15.0,435,3224.047847
18.0,371,3289.587489
8.0,422,3363.276715
25.0,679,3484.930062
15.0,543,3580.484957
19.0,541,3675.502706
14.0,577,3779.015656
17.0,513,3870.154173
14.0,609,3978.015075
13.0,626,4090.556894
20.0,717,4219.141131
29.0,555,4317.700308
17.0,602,4425.977479
19.0,682,4548.900469
22.0,610,4656.289821
23.0,903,4819.938242
14.0,635,4934.53651
16.0,579,5037.289347
15.0,562,5139.252927
16.0,607,5246.777618
21.0,772,5384.361269
22.0,538,5478.953393
15.0,599,5585.053012
15.0,609,5695.988106
19.0,660,5814.01391
37.0,969,5986.00061
48.0,1010,6166.088456
30.0,906,6329.716225
18.0,722,6458.688919
26.0,805,6603.46581
40.0,1014,6783.793541
32.0,783,6923.817488
27.0,945,7095.182346
17.0,457,7175.044128
18.0,787,7315.914559
29.0,860,7472.005817
37.0,1060,7662.893452
60.0,1259,7888.918432
34.0,981,8061.7664
67.0,1310,8299.241945
28.0,790,8439.324863
44.0,1170,8647.533337
48.0,1088,8840.567723
32.0,1039,9024.716128
31.0,878,9180.584684
33.0,1005,9359.658132
21.0,563,9459.366611
33.0,942,9626.420611
30.0,885,9783.477245
49.0,1262,10008.785224
38.0,770,10145.225274
199.0,1311,10380.011328
34.0,1080,10574.844507
71.0,921,10741.032173
62.0,1447,10999.218324
52.0,1325,11235.197951
69.0,1277,11463.760981
65.0,1380,11712.576003
55.0,1169,11920.981419
47.0,778,12058.351093
47.0,1072,12251.13329
138.0,1427,12506.932616
79.0,1401,12758.776205
52.0,1284,12987.316122
55.0,1173,13195.848983
37.0,973,13368.260207
40.0,1037,13552.138742
45.0,1008,13730.367725
99.0,1510,14002.099573
83.0,1219,14219.5412
61.0,1158,14426.134427
266.0,1816,14747.159821
178.0,1611,15036.264678
150.0,1723,15343.697303
37.0,871,15498.489655
196.0,2176,15888.379858
127.0,1486,16153.90461
301.0,1557,16433.404113
196.0,1440,16690.459713
80.0,1324,16927.002768
228.0,1649,17218.532833
102.0,1286,17445.716805
355.0,1726,17755.219242
337.0,1718,18061.385256
265.0,1640,18355.393341
261.0,1534,18630.247382
366.0,2111,19008.142931
357.0,2195,19399.06533
289.0,1480,19662.504973
161.0,1616,19951.080853
35.0,916,20112.818299
154.0,1740,20423.130946
191.0,1740,20732.92898
348.0,2056,21099.542072
312.0,1915,21441.905872
352.0,2187,21831.017251
346.0,1724,22138.236956
329.0,1421,22390.387049
81.0,1372,22634.40508
370.0,2056,23001.950533
355.0,2085,23373.948373
162.0,1653,23669.987971
254.0,1992,24025.312989
339.0,2226,24423.63392
322.0,2038,24785.5939
262.0,1960,25134.844123
326.0,2066,25503.828468
371.0,1806,25823.176534
435.0,2457,26263.632059
372.0,1912,26602.275099
401.0,2335,27016.020821
238.0,1851,27344.962163
398.0,2172,27728.427846
413.0,1426,27979.893509
401.0,1856,28312.283747
376.0,1672,28606.208776
388.0,2454,29042.716342
329.0,1788,29358.971965
361.0,1144,29562.703264
414.0,1951,29907.443261
362.0,2242,30300.983976
380.0,2216,30695.816261
317.0,2118,31069.315434
415.0,2822,31571.478464
419.0,2383,31989.802348
419.0,2294,32394.815121
373.0,2119,32768.612401
428.0,2868,33275.293622
370.0,1992,33626.904719
403.0,2456,34062.613322
369.0,1861,34391.963456
433.0,2535,34838.42911
396.0,2948,35356.6887
381.0,2734,35837.957529
383.0,2418,36267.075813
414.0,2031,36625.711236
418.0,2060,36988.159021
400.0,2184,37370.461243
