# {"t_start": 1574172129.1574068, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
0.0,125,30.631747
3.0,232,73.652007
3.0,250,118.897699
3.0,270,166.680596
2.0,220,206.055169
4.0,321,264.830986
0.0,129,286.762901
0.0,129,309.013462
0.0,129,331.790157
4.0,317,388.97932
5.0,369,457.268271
0.0,129,478.709497
2.0,198,512.361208
9.0,404,586.488455
2.0,200,622.276994
5.0,350,685.380836
0.0,127,706.891545
0.0,129,728.447251
0.0,127,749.6322
0.0,129,771.721327
2.0,198,805.429944
0.0,123,825.87793
5.0,350,889.129593
9.0,404,962.882563
5.0,350,1027.231814
3.0,246,1070.79744
5.0,350,1134.917052
1.0,176,1164.766728
2.0,200,1200.670861
7.0,322,1258.831567
9.0,404,1333.165109
0.0,125,1353.84213
3.0,232,1394.439796
1.0,173,1423.493206
1.0,155,1449.36425
3.0,230,1490.373502
0.0,129,1511.076228
0.0,129,1532.638193
3.0,218,1571.190883
2.0,188,1603.122132
1.0,176,1634.196848
1.0,153,1660.571786
9.0,380,1729.938145
10.0,419,1805.139645
15.0,505,1897.335474
7.0,412,1972.056074
2.0,205,2006.528326
2.0,201,2042.388829
14.0,371,2107.32409
3.0,251,2151.991822
3.0,253,2196.295779
17.0,351,2259.918809
12.0,320,2315.481548
2.0,202,2350.720412
2.0,206,2385.055908
19.0,689,2509.117332
4.0,281,2557.646661
9.0,493,2646.523882
14.0,574,2750.65912
9.0,416,2823.535636
10.0,466,2905.788379
12.0,498,2995.447376
9.0,476,3080.575636
10.0,501,3166.741642
16.0,525,3259.433625
34.0,831,3409.635364
19.0,511,3500.167055
19.0,441,3577.354806
29.0,682,3697.850933
21.0,686,3821.048977
15.0,454,3900.769392
21.0,682,4022.980347
10.0,475,4108.129235
20.0,722,4237.063678
26.0,507,4326.639204
23.0,710,4456.109335
12.0,582,4559.108608
19.0,806,4703.245891
23.0,736,4836.966968
22.0,651,4953.974765
19.0,540,5049.657181
23.0,745,5185.17713
20.0,728,5313.806141
38.0,1064,5503.498418
14.0,655,5620.012556
34.0,709,5748.876696
35.0,1087,5943.162616
16.0,485,6028.964029
27.0,784,6167.759178
20.0,672,6288.036948
27.0,905,6451.589448
33.0,818,6597.301312
24.0,758,6732.67393
20.0,784,6872.127435
24.0,684,6994.560067
11.0,496,7082.874498
61.0,1168,7292.943964
35.0,884,7453.584639
45.0,1096,7650.679104
36.0,959,7823.157212
39.0,1237,8042.426203
43.0,990,8221.125546
29.0,885,8379.83391
41.0,995,8556.079653
31.0,932,8722.224319
50.0,1071,8910.797073
52.0,1207,9124.203978
56.0,1389,9374.605894
53.0,1141,9577.436625
67.0,1471,9839.719659
35.0,851,9992.926089
57.0,971,10164.48119
60.0,1407,10417.92339
87.0,1641,10715.905473
46.0,1167,10923.204891
60.0,1074,11113.060325
86.0,1657,11411.285651
35.0,960,11582.368841
162.0,1871,11919.001079
51.0,963,12089.407286
66.0,1525,12366.014746
70.0,1078,12557.485349
126.0,1631,12850.924536
250.0,1706,13154.760761
61.0,969,13327.255936
60.0,1071,13517.017353
104.0,1382,13763.52709
82.0,1058,13951.920592
140.0,1883,14289.823319
54.0,1244,14510.74082
60.0,1335,14745.703345
52.0,1083,14939.352668
194.0,1507,15207.166189
130.0,1440,15464.768663
118.0,1608,15752.35391
98.0,1195,15965.294131
220.0,1894,16306.436896
171.0,1330,16543.379337
204.0,1928,16888.604186
162.0,1702,17190.845178
83.0,1163,17395.683321
268.0,2052,17762.856683
308.0,2156,18147.740381
271.0,1680,18449.128857
370.0,2178,18838.649536
250.0,1643,19132.348973
49.0,1123,19331.980689
243.0,1379,19578.054106
304.0,1621,19865.444752
236.0,1716,20172.443424
276.0,1751,20483.181328
269.0,1355,20725.377462
260.0,1474,20987.490127
99.0,1190,21198.472608
177.0,1653,21492.861943
110.0,1322,21727.140929
237.0,2033,22090.838217
315.0,1821,22414.480572
345.0,1674,22710.980384
305.0,1791,23031.489948
115.0,1458,23291.048489
337.0,1204,23505.077106
131.0,1611,23794.270098
362.0,1857,24126.298259
348.0,1881,24462.099996
374.0,1949,24807.264656
358.0,2001,25165.418611
324.0,2134,25545.055667
315.0,2033,25905.974324
407.0,2187,26296.68857
368.0,2075,26665.397119
361.0,2186,27052.120655
390.0,2419,27482.792395
352.0,2000,27833.664533
339.0,1878,28168.452415
361.0,1949,28514.592301
400.0,2726,28999.020253
292.0,1908,29336.916724
368.0,1379,29582.861871
306.0,1697,29882.071654
409.0,1981,30230.383862
428.0,2796,30726.268979
357.0,1701,31026.207693
406.0,2739,31512.167506
365.0,2427,31940.860958
389.0,2076,32306.810994
455.0,2987,32834.107015
421.0,2230,33228.198893
352.0,2154,33609.554981
375.0,2075,33976.862561
313.0,1735,34282.828408
344.0,1766,34593.848949
324.0,1877,34922.988217
421.0,3876,35607.262795
409.0,2618,36068.077011
696.0,3572,36703.035033
416.0,3291,37281.032881
