# {"t_start": 1574118415.191179, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
1.0,155,35.98546
0.0,129,56.369318
0.0,129,78.273429
4.0,301,133.392167
2.0,227,172.840165
0.0,129,194.824883
0.0,129,216.729022
0.0,129,238.638368
7.0,433,316.846496
4.0,299,370.341637
0.0,127,391.791642
0.0,127,413.303205
0.0,129,434.935607
0.0,129,456.675634
0.0,125,477.795795
0.0,127,499.111319
5.0,350,561.173111
0.0,127,582.512841
0.0,129,603.906399
0.0,129,625.835975
9.0,403,698.815765
3.0,248,742.307859
9.0,404,815.081269
0.0,129,837.189277
2.0,202,871.739876
0.0,129,893.547818
0.0,129,914.922349
0.0,129,936.265251
2.0,204,972.238507
0.0,129,992.669661
16.0,551,1092.548512
2.0,203,1127.074083
0.0,127,1148.0824
0.0,129,1169.57849
0.0,127,1190.820158
3.0,251,1235.806021
1.0,155,1261.417067
1.0,173,1290.664889
2.0,183,1321.767659
4.0,279,1370.681386
1.0,155,1396.322488
2.0,202,1431.167262
3.0,219,1469.312833
0.0,129,1489.415617
7.0,250,1533.314797
2.0,226,1573.329061
7.0,418,1647.889059
10.0,351,1710.412852
6.0,327,1767.551624
11.0,401,1838.588796
9.0,494,1927.156008
2.0,183,1957.345808
7.0,430,2035.9606
8.0,279,2083.993283
14.0,418,2156.765247
11.0,481,2240.606656
20.0,590,2346.212841
14.0,524,2437.985012
15.0,522,2529.850446
19.0,636,2642.748763
10.0,525,2734.626438
19.0,733,2863.18915
10.0,536,2956.709237
18.0,608,3064.833592
11.0,586,3168.340119
16.0,452,3246.332914
18.0,604,3354.198651
8.0,426,3428.641146
7.0,356,3489.827492
12.0,618,3598.158812
17.0,639,3711.678402
24.0,683,3831.247001
15.0,742,3962.887346
13.0,369,4027.261325
18.0,663,4143.835784
16.0,688,4265.728997
23.0,659,4382.3737
20.0,720,4510.637273
17.0,651,4626.21895
9.0,485,4710.461073
29.0,939,4878.206229
23.0,885,5035.930512
24.0,730,5165.317534
25.0,815,5310.394459
32.0,879,5466.257415
25.0,646,5579.58386
17.0,642,5693.614197
21.0,650,5807.95358
16.0,604,5913.854676
15.0,692,6035.698086
28.0,709,6160.218322
19.0,680,6280.613706
34.0,870,6433.788684
19.0,678,6553.814614
44.0,1145,6759.868186
32.0,969,6930.969362
24.0,921,7094.894471
34.0,771,7228.25025
31.0,1052,7415.937016
32.0,898,7573.279548
38.0,1015,7754.133394
29.0,822,7899.755242
37.0,666,8017.217067
37.0,1096,8210.13717
58.0,1487,8475.417199
67.0,1382,8721.465513
26.0,807,8864.994551
14.0,630,8973.697931
17.0,722,9100.942706
34.0,1010,9280.05098
49.0,1115,9477.394294
36.0,1036,9662.193964
51.0,1368,9904.539039
41.0,1114,10099.634558
57.0,1288,10327.657345
52.0,919,10490.175755
86.0,1545,10765.307081
35.0,993,10940.209397
53.0,1177,11149.179062
45.0,1267,11373.892404
82.0,1525,11644.862143
53.0,1115,11841.655686
31.0,922,12002.540897
57.0,1151,12206.904705
94.0,1396,12457.802175
207.0,2069,12825.826976
223.0,1565,13105.733157
41.0,1274,13332.388935
84.0,1208,13546.490669
67.0,1200,13759.709944
110.0,1480,14019.462308
130.0,1634,14307.307562
287.0,1272,14533.597216
96.0,1440,14789.190605
137.0,1640,15078.770458
117.0,1645,15370.297069
154.0,1775,15686.234669
238.0,1398,15933.809252
210.0,1978,16283.109319
154.0,1456,16541.042134
196.0,1335,16777.412082
267.0,1781,17092.125621
208.0,1931,17437.108719
91.0,1367,17677.318975
364.0,2218,18070.24277
132.0,1698,18369.511526
287.0,1589,18649.79069
330.0,1749,18957.292403
332.0,1965,19307.294821
165.0,1610,19592.166721
408.0,2217,19985.490337
382.0,1896,20320.739203
363.0,2028,20678.986381
418.0,2263,21080.954383
362.0,2012,21438.463486
286.0,1742,21743.670234
180.0,1776,22058.956596
376.0,1870,22389.690108
340.0,1977,22742.408932
326.0,1806,23061.24818
354.0,2141,23441.742419
371.0,1920,23780.308786
411.0,2398,24206.532695
161.0,1593,24488.732762
177.0,1520,24757.435544
348.0,1707,25058.237082
322.0,2210,25448.528186
395.0,3455,26054.825973
320.0,1795,26370.425547
396.0,2160,26752.649664
360.0,1749,27059.716188
394.0,2306,27466.203258
359.0,2305,27872.792425
74.0,1127,28070.073977
397.0,1901,28401.746167
380.0,2965,28922.102765
330.0,4494,29717.61073
367.0,2237,30110.255452
359.0,1791,30424.713051
107.0,1462,30681.817385
404.0,2272,31082.736198
382.0,2451,31517.327135
338.0,1796,31835.625048
413.0,2338,32250.818257
383.0,1833,32576.739365
326.0,1796,32892.025538
312.0,2369,33310.832824
402.0,2605,33771.924981
417.0,2625,34236.977718
388.0,2551,34686.025211
419.0,2661,35156.955827
390.0,2510,35596.653262
402.0,2071,35964.06723
431.0,2360,36378.589844
241.0,1499,36638.917634
394.0,2365,37054.748065
