# {"t_start": 1574118416.6750364, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
5.0,369,74.148727
0.0,129,95.766903
0.0,127,117.182337
5.0,350,181.350991
1.0,177,211.977997
1.0,173,241.62558
0.0,127,263.053426
1.0,176,293.19704
2.0,202,329.026866
1.0,155,355.541806
1.0,157,382.482719
5.0,347,445.509729
2.0,202,480.149593
1.0,155,506.678092
0.0,129,528.367833
2.0,198,563.448996
0.0,129,583.716357
0.0,127,604.865503
0.0,127,626.35492
0.0,127,647.819442
2.0,200,683.273522
0.0,129,703.686657
5.0,350,766.704441
0.0,127,787.715372
0.0,129,809.351749
0.0,129,831.385559
0.0,127,852.647962
5.0,350,914.753858
5.0,348,977.174567
0.0,129,998.952113
11.0,483,1084.223709
0.0,125,1104.753835
4.0,263,1151.283565
0.0,129,1172.745217
2.0,198,1207.845274
3.0,234,1248.054726
6.0,397,1319.313115
2.0,185,1351.777212
0.0,127,1371.519801
0.0,129,1392.645544
12.0,551,1492.147378
16.0,532,1588.594899
6.0,380,1654.655681
12.0,302,1708.800103
2.0,206,1743.365444
4.0,282,1792.716144
13.0,353,1855.48768
5.0,352,1917.977355
7.0,404,1989.861205
11.0,271,2037.677031
7.0,458,2117.239027
10.0,504,2206.559263
8.0,378,2272.802616
12.0,302,2324.853263
13.0,619,2434.356436
7.0,392,2502.535377
13.0,608,2609.60053
7.0,431,2685.79496
21.0,660,2801.992775
9.0,458,2880.867981
9.0,465,2962.709993
15.0,643,3076.703651
14.0,670,3194.289822
8.0,443,3271.480702
14.0,579,3373.574844
10.0,554,3472.371203
20.0,663,3588.337945
16.0,758,3723.706878
14.0,643,3836.12548
8.0,444,3912.721715
13.0,500,4001.32432
24.0,664,4118.012634
25.0,812,4262.300375
20.0,678,4382.141839
30.0,815,4526.47191
23.0,674,4647.44409
15.0,604,4752.69488
8.0,417,4825.581969
20.0,712,4953.312192
13.0,623,5064.143832
15.0,659,5180.00347
19.0,559,5278.853965
18.0,667,5396.707805
34.0,933,5561.080555
13.0,640,5674.326478
34.0,946,5842.182661
32.0,822,5988.200033
23.0,778,6124.949257
24.0,657,6240.752983
50.0,1323,6475.785248
36.0,965,6647.489326
14.0,649,6763.460557
28.0,903,6923.596614
14.0,627,7033.436446
23.0,836,7179.398957
24.0,835,7328.152625
48.0,1148,7531.426099
31.0,1012,7710.640232
20.0,838,7859.004273
34.0,961,8028.733022
67.0,1279,8255.168645
32.0,960,8425.780867
29.0,1032,8611.040806
41.0,1098,8804.021007
43.0,862,8956.700635
48.0,1250,9177.187577
63.0,1503,9444.718081
41.0,987,9620.474234
32.0,935,9786.705747
34.0,522,9876.986916
38.0,900,10035.010866
31.0,724,10159.995271
50.0,1311,10392.02781
38.0,1027,10575.754471
69.0,1236,10794.659294
58.0,1178,11003.237475
87.0,1554,11279.616306
84.0,1585,11560.429028
59.0,1465,11819.973259
52.0,1035,12001.30043
50.0,1246,12223.868181
124.0,1685,12524.496423
134.0,1942,12871.700316
119.0,1354,13113.771111
84.0,1386,13358.617372
45.0,922,13522.161483
80.0,954,13690.784035
140.0,1800,14009.265129
136.0,1720,14311.298968
162.0,1593,14594.805654
128.0,1586,14876.671962
311.0,1538,15149.539057
171.0,1432,15403.274613
195.0,1870,15735.272344
198.0,1405,15983.300008
337.0,2099,16355.563756
64.0,1054,16540.61236
277.0,1705,16842.797431
123.0,1501,17107.399363
126.0,1696,17409.825671
250.0,1698,17711.024214
135.0,1456,17967.181786
231.0,1719,18272.01162
243.0,1511,18537.704362
386.0,2006,18890.032005
390.0,2067,19257.570592
338.0,1963,19606.644401
346.0,1739,19914.788192
377.0,2074,20280.056563
297.0,1559,20555.301707
296.0,1675,20852.315311
259.0,1727,21159.024228
378.0,2043,21521.119254
205.0,2016,21876.620588
336.0,2251,22275.823028
122.0,1501,22540.8647
330.0,1819,22865.058134
170.0,1908,23201.336295
317.0,1929,23544.6435
402.0,2315,23955.760106
333.0,2174,24340.148063
325.0,2297,24748.200825
228.0,1774,25061.58676
389.0,2315,25469.386975
405.0,2346,25880.583333
325.0,1936,26219.317878
420.0,2394,26642.202949
365.0,1897,26977.075146
401.0,2459,27409.763945
353.0,2349,27823.500634
416.0,2375,28241.019013
327.0,2035,28597.943282
356.0,2683,29069.360109
337.0,1888,29401.798549
183.0,1591,29681.414981
423.0,2346,30094.419016
387.0,1870,30422.403334
391.0,1952,30765.864442
295.0,1642,31055.062175
373.0,2682,31531.404695
416.0,2579,31990.863605
315.0,1711,32292.252821
421.0,2314,32703.087811
391.0,2436,33134.157825
420.0,3482,33749.947926
403.0,2743,34237.415635
374.0,2363,34652.218945
387.0,2198,35041.69092
264.0,2549,35488.899593
386.0,2393,35910.187971
409.0,1750,36218.694185
407.0,2094,36584.816873
368.0,1917,36920.615267
