# {"t_start": 1574118414.5000472, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
0.0,125,29.492808
3.0,269,78.037029
0.0,129,99.775521
0.0,123,120.529549
0.0,125,141.788611
0.0,127,163.460224
1.0,173,193.212137
0.0,123,214.056002
2.0,204,249.197227
0.0,127,270.762362
5.0,313,327.465272
4.0,299,381.273429
0.0,127,402.530793
0.0,127,424.16939
1.0,155,450.285903
2.0,204,485.271479
2.0,200,521.141685
2.0,184,552.328345
0.0,125,573.473963
0.0,129,594.802709
0.0,129,616.62143
0.0,129,638.465132
0.0,127,658.205671
2.0,202,694.416547
4.0,297,746.484197
8.0,372,813.539821
0.0,127,835.30619
2.0,202,869.974746
0.0,127,891.50086
0.0,127,912.48077
9.0,404,984.902877
4.0,279,1033.888878
5.0,350,1096.021049
1.0,175,1125.516742
3.0,226,1165.451482
2.0,200,1199.548979
2.0,200,1235.382936
6.0,375,1301.01848
1.0,155,1328.543493
10.0,454,1408.831261
0.0,127,1429.441682
8.0,298,1481.281974
1.0,178,1511.215747
5.0,324,1569.633763
11.0,472,1653.714293
20.0,675,1776.888468
6.0,374,1841.768131
7.0,410,1913.906079
5.0,306,1968.664356
5.0,296,2020.946655
15.0,621,2131.665973
18.0,631,2242.490016
17.0,496,2330.477652
7.0,418,2403.176926
20.0,672,2522.820156
12.0,304,2575.344017
17.0,532,2669.143735
15.0,593,2772.349416
7.0,425,2847.781138
11.0,573,2947.417965
14.0,650,3062.537353
10.0,527,3154.548582
11.0,569,3254.154592
11.0,548,3350.681936
11.0,611,3459.173625
20.0,644,3572.345837
13.0,682,3693.359779
12.0,601,3799.278411
16.0,596,3902.717893
26.0,753,4036.55348
21.0,758,4170.9002
11.0,625,4282.145735
18.0,699,4405.310727
17.0,498,4493.362488
19.0,554,4590.829605
15.0,559,4689.50562
15.0,678,4810.081612
12.0,611,4917.196429
24.0,788,5057.911222
19.0,736,5188.266142
32.0,677,5308.629888
18.0,550,5405.386658
16.0,471,5487.511289
18.0,673,5605.345446
13.0,619,5715.561616
25.0,781,5853.737067
22.0,864,6005.442446
26.0,814,6149.618264
17.0,756,6283.269822
28.0,809,6425.973989
43.0,1048,6612.854332
21.0,692,6736.291706
17.0,730,6866.343642
17.0,570,6965.093942
31.0,938,7130.661692
33.0,1045,7315.93323
39.0,1130,7515.773577
39.0,1125,7716.577907
54.0,1163,7922.346726
25.0,674,8041.231922
29.0,836,8187.095911
56.0,1363,8430.112746
65.0,1470,8692.661573
60.0,1466,8952.529565
36.0,1044,9136.385664
26.0,970,9308.57674
58.0,1424,9563.407109
59.0,1598,9846.757566
57.0,1199,10059.279093
53.0,903,10215.646942
67.0,1411,10466.965904
38.0,985,10642.670093
35.0,1118,10840.42421
18.0,651,10953.94145
70.0,1404,11203.070221
62.0,1188,11413.156018
42.0,1248,11633.881524
68.0,1521,11904.389372
58.0,1319,12136.665236
61.0,1255,12361.929564
30.0,832,12508.151779
83.0,1511,12777.481362
70.0,1360,13020.913561
59.0,1340,13258.996147
103.0,1586,13541.309637
196.0,1956,13887.126286
192.0,1836,14211.638377
97.0,1299,14440.739251
72.0,1175,14649.621206
115.0,1196,14860.593723
168.0,1763,15173.793354
181.0,1194,15384.644588
287.0,1533,15656.879322
100.0,1560,15933.168444
187.0,1672,16227.686083
305.0,1978,16579.080974
304.0,1859,16907.981312
75.0,1359,17147.707825
201.0,1450,17406.234507
361.0,1976,17756.769114
221.0,1563,18033.08922
189.0,1810,18352.625494
288.0,1764,18662.014453
410.0,1900,18998.574152
264.0,1836,19323.173732
269.0,1948,19669.466054
246.0,2030,20030.004229
147.0,1782,20344.455351
398.0,2319,20755.427996
285.0,2000,21109.387386
204.0,1755,21421.073483
322.0,1937,21761.98193
388.0,2367,22181.31902
296.0,1765,22494.268892
242.0,1635,22786.633187
327.0,1996,23137.435609
328.0,1879,23471.700723
378.0,2248,23870.967829
364.0,1911,24208.533765
357.0,1665,24504.839187
364.0,1873,24834.988741
401.0,2235,25229.90515
364.0,1811,25547.924422
230.0,2030,25904.172998
405.0,2117,26274.682574
359.0,2038,26635.42136
377.0,2136,27012.147275
350.0,1930,27352.156881
341.0,1938,27692.9709
406.0,2339,28104.952697
365.0,2235,28495.142943
339.0,2006,28847.653087
370.0,2204,29234.580956
356.0,2003,29589.187146
398.0,1625,29872.784636
405.0,2381,30290.788358
282.0,1769,30603.380763
379.0,2068,30966.42466
388.0,1893,31303.324564
215.0,1748,31611.878938
409.0,2844,32116.803568
405.0,2624,32583.797235
387.0,2468,33020.619069
368.0,1926,33360.139464
401.0,2357,33775.832484
401.0,2021,34134.253323
389.0,2946,34653.669094
400.0,1904,34990.705504
358.0,2353,35404.282881
451.0,3233,35974.800243
352.0,2439,36403.377068
397.0,3218,36967.213206
