# {"t_start": 1575292820.518907, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
0.0,129,42.618201
75.0,1210,363.19715
140.0,1625,790.676636
433.0,2958,1572.376223
440.0,3057,2384.067986
423.0,2680,3091.981147
3.0,271,3160.154102
449.0,4568,4368.879193
411.0,3331,5243.166841
413.0,2187,5815.824224
427.0,2865,6568.693358
407.0,2724,7283.921433
412.0,2391,7907.969761
0.0,125,7937.620812
293.0,2007,8466.014336
428.0,2941,9239.319937
0.0,123,9268.337439
406.0,5829,10803.271416
428.0,2057,11340.939575
0.0,127,11370.859101
399.0,2039,11906.819252
304.0,1747,12364.27242
0.0,125,12393.920309
338.0,1702,12840.160478
2.0,198,12889.968001
363.0,2168,13458.989761
413.0,4072,14526.763953
428.0,9607,17054.990715
431.0,5817,18589.157825
6.0,399,18690.373677
427.0,8617,20962.663827
428.0,2725,21676.807502
0.0,129,21707.44382
431.0,4176,22807.104525
2.0,200,22857.27717
683.0,3577,23794.121866
477.0,4635,25012.591932
3.0,248,25074.079344
