# {"t_start": 1575292820.4629922, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
451.0,6078,1626.186028
426.0,3107,2449.389741
416.0,3037,3252.832242
186.0,1467,3636.627697
416.0,2398,4270.842383
151.0,1747,4728.056772
415.0,2429,5365.771209
231.0,1315,5708.074577
0.0,129,5738.698698
0.0,125,5768.299521
829.0,4885,7052.796941
115.0,1545,7456.685627
406.0,2189,8029.244696
348.0,1870,8519.675516
425.0,2821,9261.178344
502.0,3776,10255.345767
311.0,1970,10771.679393
410.0,4547,11967.275171
2.0,202,12017.988313
414.0,3048,12821.132578
0.0,125,12850.671897
4.0,297,12925.187216
434.0,13900,16584.154406
405.0,2563,17256.03929
421.0,2504,17916.165935
429.0,2913,18679.846161
354.0,2360,19300.703706
376.0,2410,19930.581164
2.0,198,19980.657546
0.0,125,20010.065518
384.0,2553,20679.598253
431.0,4289,21809.901041
405.0,2195,22385.861042
425.0,3101,23200.770566
376.0,1964,23712.115871
432.0,2708,24423.125503
2.0,198,24472.859456
436.0,2866,25222.377058
428.0,2741,25940.837873
