# {"t_start": 1575292813.0949762, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
15.0,655,192.355019
425.0,2940,969.379321
376.0,2381,1598.686923
308.0,1836,2083.813241
348.0,1769,2551.444392
1.0,153,2588.518475
346.0,2084,3137.586482
455.0,4822,4413.268917
386.0,2377,5037.216451
303.0,1713,5483.823164
438.0,3107,6301.443873
420.0,3702,7272.776538
428.0,2704,7980.39556
428.0,4544,9178.945412
2.0,198,9227.095391
130.0,1483,9616.135156
428.0,4510,10803.423395
399.0,3853,11815.623333
395.0,1869,12305.61172
453.0,6326,13973.691025
400.0,3487,14888.369332
268.0,1319,15231.587965
378.0,2305,15833.21217
333.0,2004,16359.487841
440.0,4493,17541.288554
2.0,200,17591.876377
167.0,1486,17979.627541
423.0,10142,20653.213536
3.0,246,20714.79497
373.0,2110,21270.408686
392.0,2167,21836.232548
0.0,127,21866.176867
5.0,350,21955.548048
815.0,5252,23338.752502
4.0,297,23413.12424
427.0,8868,25744.173697
427.0,2840,26488.120523
432.0,2889,27244.060157
