# {"t_start": 1575292814.651934, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
373.0,2839,771.852757
427.0,4159,1872.867163
366.0,1846,2361.062632
380.0,2607,3051.238853
424.0,2707,3763.876522
4.0,297,3839.36519
406.0,3531,4769.958937
792.0,4922,6066.12142
276.0,1953,6576.395805
417.0,2935,7348.108768
401.0,2388,7971.136708
395.0,2398,8602.392544
387.0,2874,9357.974989
423.0,2406,9989.942449
399.0,2210,10568.613494
428.0,3038,11366.893374
332.0,1666,11801.871797
472.0,3711,12780.969781
428.0,3989,13828.332393
345.0,2344,14444.695897
0.0,125,14472.364531
346.0,1703,14918.233529
0.0,127,14948.039867
367.0,2815,15683.291317
395.0,2090,16233.023962
396.0,2141,16792.986503
5.0,350,16882.219557
433.0,2752,17605.621674
481.0,3860,18620.469708
6.0,400,18722.047029
0.0,125,18751.763586
480.0,4467,19926.470226
0.0,127,19956.931919
0.0,129,19987.837985
809.0,5323,21391.08436
427.0,9805,23972.941322
440.0,3338,24849.808925
382.0,2172,25417.554483
624.0,3904,26441.473713
410.0,3750,27422.811981
