# {"t_start": 1575292818.384528, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
412.0,2451,664.674512
0.0,127,693.28351
433.0,2791,1431.48888
399.0,2221,2018.971636
403.0,1800,2494.156728
0.0,129,2525.206657
409.0,3294,3394.994993
444.0,2978,4183.229376
0.0,129,4213.764757
44.0,1082,4495.581366
0.0,127,4525.666115
5.0,350,4614.443113
424.0,3240,5465.456612
233.0,1708,5912.229418
405.0,2614,6596.563974
424.0,2628,7288.017307
418.0,3070,8092.805318
388.0,2131,8651.792368
3.0,270,8719.518184
401.0,2479,9372.015301
