# {"t_start": 1575292818.1741276, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
405.0,2277,617.721951
822.0,5558,2091.471977
1.0,155,2130.431357
0.0,129,2159.862873
361.0,2285,2765.509722
542.0,3704,3742.319297
414.0,2233,4331.590857
418.0,3375,5221.151439
428.0,6136,6833.016069
396.0,2132,7393.093314
3.0,248,7454.921531
1.0,172,7496.174205
368.0,3009,8285.321158
155.0,1674,8724.054881
399.0,2091,9274.096717
521.0,5960,10843.247532
395.0,2758,11566.529323
424.0,2528,12231.437523
0.0,129,12262.162532
432.0,5428,13690.986664
2.0,202,13741.416382
383.0,1731,14193.710315
0.0,129,14224.331202
453.0,9423,16704.986608
367.0,4843,17978.9863
5.0,350,18068.436208
401.0,2089,18615.292669
3.0,246,18676.77119
347.0,1926,19182.679835
400.0,4700,20418.54578
436.0,2926,21187.99742
374.0,2392,21816.067782
712.0,3618,22768.401817
382.0,1923,23271.465158
2.0,200,23319.919217
0.0,125,23349.308779
419.0,2856,24098.110255
423.0,2707,24808.453537
704.0,4827,26074.690851
428.0,3918,27101.123024
2.0,198,27149.004571
