# {"t_start": 1574686254.0537984, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
5.0,320,87.543871
1.0,175,127.783204
0.0,125,155.75114
2.0,202,201.428463
3.0,248,260.152457
8.0,371,348.874444
3.0,250,408.027174
1.0,176,447.719985
9.0,426,550.044234
9.0,380,641.627957
0.0,129,670.357359
0.0,129,699.025645
0.0,127,727.060686
3.0,228,780.9579
0.0,127,809.021543
3.0,248,865.351811
2.0,200,912.181643
6.0,402,1008.758265
2.0,200,1053.81032
2.0,202,1101.225595
0.0,129,1129.741722
0.0,125,1157.047521
5.0,350,1239.567399
0.0,129,1268.426382
0.0,127,1296.656664
4.0,297,1366.578996
0.0,129,1395.097205
0.0,125,1422.775395
0.0,127,1450.936872
0.0,129,1479.077214
3.0,248,1537.404368
0.0,129,1565.096029
0.0,127,1593.652271
9.0,404,1691.162272
0.0,127,1719.294078
2.0,198,1766.360796
6.0,399,1861.439057
0.0,129,1890.108967
0.0,127,1917.030581
0.0,127,1945.305972
2.0,200,1992.248258
0.0,129,2020.762188
5.0,350,2103.291882
0.0,127,2131.640252
0.0,129,2160.041568
0.0,129,2188.872516
6.0,382,2280.106834
9.0,404,2376.715028
0.0,127,2404.963237
0.0,129,2433.630295
0.0,129,2462.363388
2.0,202,2508.250296
2.0,202,2555.427288
0.0,129,2582.762474
0.0,129,2611.287027
0.0,127,2639.936055
9.0,425,2741.790681
5.0,325,2819.616947
0.0,127,2848.208412
2.0,200,2893.63664
0.0,123,2920.698016
2.0,202,2968.21138
2.0,198,3013.037742
0.0,127,3041.067956
0.0,125,3068.39459
6.0,376,3158.273319
3.0,248,3215.126384
1.0,174,3255.714869
2.0,202,3301.068985
3.0,230,3354.778212
9.0,404,3450.62301
5.0,352,3533.318879
9.0,404,3630.205703
5.0,329,3708.461458
7.0,411,3805.404516
0.0,129,3833.983936
4.0,282,3899.184979
2.0,205,3947.125529
3.0,216,3996.461241
3.0,248,4054.739043
3.0,230,4108.508673
9.0,438,4212.509196
8.0,449,4318.963055
1.0,155,4353.60637
11.0,271,4415.660214
4.0,245,4471.926385
8.0,473,4584.932033
21.0,643,4739.003405
13.0,357,4822.093596
5.0,333,4901.039516
1.0,155,4935.228844
4.0,249,4992.222387
3.0,271,5054.894316
12.0,444,5160.108714
0.0,129,5188.374969
7.0,415,5287.488735
4.0,299,5356.92695
10.0,343,5437.970228
5.0,331,5517.061967
7.0,387,5607.312103
3.0,248,5665.157485
9.0,434,5768.34056
5.0,326,5843.369226
12.0,453,5949.068066
9.0,485,6063.905171
9.0,457,6172.622403
17.0,504,6290.906242
9.0,467,6401.603753
4.0,262,6462.297177
0.0,127,6490.201207
6.0,342,6568.597073
0.0,129,6596.613456
2.0,200,6643.050943
11.0,537,6770.391248
18.0,537,6897.809886
0.0,125,6924.882179
9.0,380,7013.53252
0.0,127,7039.279263
8.0,424,7140.102931
13.0,496,7255.860622
8.0,412,7353.06205
14.0,596,7494.477139
7.0,393,7586.023239
16.0,751,7765.697612
15.0,649,7920.656915
12.0,447,8024.55629
11.0,546,8153.547
9.0,445,8258.262325
13.0,689,8420.555833
10.0,496,8536.911134
16.0,592,8676.139764
