# {"t_start": 1574686251.988104, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
4.0,263,74.589365
0.0,129,103.835541
1.0,173,144.654405
1.0,155,179.325524
4.0,301,250.34965
4.0,282,316.980867
1.0,176,356.731189
2.0,202,404.534121
3.0,248,462.558253
2.0,205,509.927526
7.0,409,607.864309
4.0,299,678.608043
1.0,157,715.09075
12.0,431,818.421086
4.0,297,887.531599
0.0,125,915.395521
0.0,127,943.610547
0.0,129,972.339182
0.0,127,1000.721441
0.0,127,1027.343436
5.0,350,1111.045731
0.0,127,1139.113647
0.0,125,1166.467355
5.0,350,1249.002765
0.0,127,1277.321053
0.0,125,1305.072839
2.0,202,1352.337101
0.0,129,1381.212729
0.0,125,1407.073731
2.0,198,1453.662221
9.0,404,1549.976748
0.0,129,1579.166482
6.0,380,1670.816154
9.0,404,1768.378354
0.0,127,1796.650566
5.0,350,1878.482561
0.0,129,1907.463268
4.0,297,1977.387168
9.0,404,2074.100332
10.0,451,2183.103871
0.0,129,2211.923064
0.0,129,2240.503176
0.0,129,2267.495372
0.0,125,2295.301543
9.0,404,2391.945417
10.0,450,2501.081288
0.0,125,2528.803613
5.0,350,2610.857858
0.0,127,2639.532811
0.0,127,2667.873947
2.0,198,2712.993979
10.0,451,2822.079794
0.0,129,2851.166501
0.0,127,2879.314985
0.0,129,2908.033613
0.0,123,2933.474977
4.0,318,3009.79177
2.0,198,3054.28478
4.0,299,3124.365255
2.0,200,3171.515831
1.0,175,3211.234545
3.0,248,3268.998366
0.0,129,3297.185056
0.0,127,3325.002088
1.0,176,3364.98545
0.0,129,3393.441375
5.0,350,3476.441581
2.0,202,3522.09039
0.0,129,3550.834137
4.0,301,3622.068844
6.0,376,3711.418974
1.0,174,3749.887338
0.0,129,3778.390295
2.0,185,3819.844289
2.0,198,3865.944397
3.0,230,3919.281765
0.0,125,3945.198099
0.0,129,3974.299652
0.0,127,4002.367372
0.0,129,4030.924194
0.0,129,4059.697957
2.0,186,4101.412497
0.0,129,4129.646429
0.0,127,4157.765417
2.0,202,4205.334363
0.0,129,4233.829578
2.0,225,4284.543542
8.0,447,4391.415613
15.0,541,4519.253755
14.0,582,4657.485762
6.0,342,4738.691963
2.0,225,4789.447216
17.0,607,4935.194288
7.0,418,5033.155088
3.0,273,5096.892824
14.0,386,5187.781507
4.0,326,5264.018824
12.0,497,5383.334005
4.0,283,5449.069836
8.0,403,5544.840844
10.0,460,5655.249369
0.0,129,5683.561966
6.0,356,5765.605958
7.0,393,5857.565982
5.0,350,5939.338382
11.0,471,6051.094682
17.0,779,6237.599592
12.0,591,6377.218138
2.0,202,6423.663121
10.0,380,6511.705738
6.0,327,6588.548953
3.0,230,6641.45766
8.0,426,6741.647946
19.0,695,6907.190055
0.0,129,6935.292742
2.0,200,6979.321567
7.0,374,7066.659153
9.0,494,7183.225495
13.0,638,7334.167988
13.0,568,7469.156177
10.0,488,7584.376097
9.0,450,7689.854482
10.0,456,7798.011518
0.0,127,7825.668711
1.0,177,7864.751473
13.0,634,8015.514361
15.0,597,8156.552641
13.0,629,8304.3885
0.0,127,8331.962324
0.0,129,8359.797679
0.0,127,8387.582559
15.0,547,8515.700537
0.0,129,8543.743173
11.0,407,8638.554251
6.0,340,8717.328275
15.0,576,8854.258681
16.0,635,9003.369682
19.0,697,9168.395425
10.0,444,9272.248411
8.0,448,9377.99939
14.0,631,9526.474851
17.0,676,9686.175295
0.0,129,9714.636885
8.0,466,9823.18865
17.0,578,9960.293616
27.0,836,10159.415288
5.0,350,10241.199476
20.0,773,10425.042863
13.0,563,10557.896653
17.0,598,10698.801867
22.0,698,10865.558286
16.0,680,11026.778127
14.0,648,11179.878295
19.0,601,11323.074961
3.0,212,11370.831953
15.0,604,11514.905334
21.0,790,11704.43845
13.0,618,11850.882953
16.0,468,11962.978584
0.0,129,11991.592336
16.0,684,12154.518946
12.0,520,12280.110566
25.0,892,12496.360821
0.0,127,12524.580907
21.0,747,12703.489013
13.0,627,12852.212024
4.0,325,12929.125911
0.0,127,12956.667629
14.0,658,13114.801141
9.0,469,13226.826124
3.0,249,13285.469867
13.0,599,13429.924953
14.0,645,13585.14097
25.0,894,13800.673865
16.0,589,13943.079348
13.0,590,14084.183491
36.0,779,14270.48582
2.0,204,14317.049696
40.0,823,14510.774821
23.0,697,14677.338161
0.0,129,14704.205862
23.0,725,14876.661107
26.0,851,15079.55488
0.0,129,15105.595901
32.0,873,15313.640458
11.0,511,15433.196519
27.0,626,15580.655966
12.0,575,15715.75091
11.0,451,15822.108915
1.0,157,15855.860366
0.0,125,15882.577029
25.0,785,16068.57344
11.0,550,16198.788174
17.0,713,16367.765334
12.0,543,16495.553193
21.0,596,16637.869697
9.0,404,16732.454139
4.0,267,16794.024591
22.0,705,16961.818278
2.0,185,17004.152065
12.0,570,17139.099072
24.0,732,17313.301189
14.0,503,17431.324699
23.0,798,17620.892073
28.0,877,17827.492366
21.0,733,18002.044209
2.0,202,18046.552616
33.0,790,18234.815912
31.0,965,18463.968308
17.0,791,18651.642629
32.0,670,18809.248755
32.0,968,19040.31754
0.0,129,19068.356792
7.0,407,19163.047483
30.0,846,19364.095408
44.0,1040,19612.730606
25.0,762,19795.002754
32.0,1042,20041.828754
0.0,129,20069.83633
26.0,871,20277.089957
2.0,202,20321.542404
38.0,864,20529.64578
40.0,1071,20785.360508
29.0,657,20939.999577
2.0,198,20984.125261
52.0,1295,21293.617692
31.0,1112,21560.897835
54.0,1155,21835.153343
37.0,919,22051.958245
34.0,816,22245.236906
32.0,763,22425.156689
48.0,1072,22679.215572
31.0,869,22884.773448
3.0,276,22948.093256
50.0,926,23169.88835
0.0,129,23197.607589
37.0,1175,23476.212167
30.0,641,23626.756236
42.0,1052,23877.761218
20.0,690,24040.479103
29.0,873,24248.289764
68.0,1217,24540.562782
9.0,404,24635.116969
0.0,127,24661.566134
61.0,1031,24907.609345
2.0,202,24953.938103
31.0,862,25160.315433
2.0,202,25204.867903
40.0,908,25421.921212
70.0,1389,25754.217178
77.0,1148,26027.226524
24.0,727,26197.924501
61.0,1329,26512.932333
60.0,1275,26814.191626
33.0,575,26949.860702
59.0,961,27175.29012
6.0,380,27263.702737
53.0,1168,27542.786599
7.0,248,27599.228031
77.0,1392,27932.647818
2.0,203,27977.256579
173.0,1249,28274.140174
0.0,129,28301.96612
33.0,947,28526.631989
54.0,1181,28806.652741
0.0,127,28834.385226
51.0,739,29009.938233
0.0,127,29036.267138
3.0,249,29093.783078
129.0,1614,29479.903199
0.0,127,29507.489497
56.0,1241,29802.359615
70.0,1528,30164.315144
0.0,127,30191.552987
1.0,155,30225.557338
58.0,1105,30487.67693
52.0,1102,30748.092526
81.0,1419,31084.579841
55.0,1226,31374.870132
203.0,1390,31705.663526
256.0,1489,32063.010553
0.0,129,32090.486515
97.0,1413,32428.371108
59.0,1408,32761.122938
7.0,248,32817.542933
2.0,220,32866.422003
129.0,1765,33287.352774
94.0,1233,33579.886549
286.0,1767,34002.324461
1.0,155,34036.701856
59.0,1181,34315.604521
140.0,1353,34636.271503
179.0,1449,34982.207434
93.0,1575,35358.464277
76.0,1267,35656.689838
0.0,127,35684.104641
0.0,127,35709.811023
0.0,127,35737.082781
98.0,1396,36067.839356
2.0,220,36117.104345
93.0,1587,36492.217232
278.0,1877,36937.727174
97.0,1145,37206.344135
311.0,1589,37585.652014
2.0,202,37629.49024
0.0,129,37657.554788
72.0,1224,37947.348409
95.0,1418,38283.700326
2.0,200,38327.080849
230.0,2006,38803.628859
359.0,1975,39271.188951
4.0,297,39338.98799
118.0,1304,39647.242264
70.0,985,39880.130915
274.0,1924,40340.959789
333.0,1783,40764.929738
319.0,1813,41196.937737
5.0,350,41276.326507
0.0,129,41304.183205
313.0,1670,41700.448191
4.0,264,41760.871773
92.0,1113,42025.759361
357.0,1978,42496.919011
58.0,1318,42811.904137
203.0,1849,43254.229192
159.0,1582,43631.978328
375.0,1952,44097.667423
93.0,1522,44462.824452
83.0,1336,44780.887363
184.0,1566,45157.366937
353.0,2015,45638.910322
359.0,1825,46074.815425
298.0,1678,46475.422831
129.0,1522,46836.480562
356.0,2220,47367.127513
2.0,198,47410.715423
365.0,2173,47929.530295
348.0,1939,48390.488933
389.0,1844,48830.183861
401.0,2315,49382.498428
405.0,2254,49921.784631
260.0,1494,50276.061081
4.0,299,50345.469959
2.0,200,50389.631821
0.0,129,50417.350745
1.0,155,50450.769982
0.0,129,50478.082346
393.0,2000,50956.981721
320.0,2114,51460.549126
347.0,1800,51886.957366
266.0,1846,52326.275385
0.0,125,52353.471044
0.0,125,52380.643978
0.0,129,52408.86797
412.0,2406,52984.355453
369.0,2107,53486.670249
0.0,129,53514.406358
2.0,206,53559.228259
1.0,175,53598.850847
4.0,279,53661.850382
387.0,2262,54202.581645
387.0,2062,54695.256332
428.0,2751,55355.05587
179.0,1628,55741.383005
1.0,173,55779.062953
0.0,127,55806.597231
388.0,1881,56256.839192
389.0,2351,56819.883347
332.0,1845,57259.992002
294.0,1622,57646.538103
321.0,1620,58035.190768
324.0,1418,58371.321319
408.0,2130,58877.653931
387.0,2042,59366.03235
306.0,1582,59742.27132
415.0,2514,60345.658173
386.0,1950,60808.600734
412.0,2443,61394.626393
392.0,3065,62126.694588
456.0,3609,62992.95464
2.0,205,63037.949323
5.0,350,63118.680301
424.0,2870,63802.727063
343.0,2291,64348.919651
379.0,2195,64869.849756
441.0,2751,65527.380123
342.0,1624,65915.933484
382.0,2502,66511.846836
424.0,2770,67173.675357
387.0,2851,67850.888461
380.0,2305,68402.492816
387.0,2729,69074.558498
0.0,127,69102.940852
428.0,9948,71511.855057
442.0,6198,72987.758878
0.0,127,73014.356145
412.0,2347,73572.883783
417.0,2885,74263.00884
381.0,2302,74808.318046
1.0,155,74843.0031
364.0,1875,75283.779287
411.0,2577,75896.486895
3.0,246,75952.124758
349.0,2663,76587.573645
398.0,1490,76938.922469
422.0,2281,77484.083982
406.0,2426,78059.467495
428.0,2647,78687.528173
405.0,2344,79244.447258
402.0,2362,79810.145671
2.0,200,79853.597602
402.0,2203,80377.622017
2.0,202,80423.040428
259.0,1670,80820.39528
428.0,2952,81522.89789
2.0,198,81566.454983
784.0,4836,82718.157821
431.0,3199,83484.078683
2.0,202,83528.278297
403.0,1971,83997.428527
0.0,127,84024.49868
434.0,3998,84974.81312
362.0,1907,85427.999803
0.0,127,85455.268054
410.0,2771,86114.625917
401.0,2043,86601.440881
6.0,378,86687.318344
428.0,3237,87459.215865
374.0,2050,87943.276676
425.0,3942,88887.274902
409.0,2713,89535.725188
412.0,2293,90081.53273
2.0,186,90122.292296
419.0,2184,90640.313501
4.0,246,90696.050825
327.0,1661,91091.913489
420.0,2607,91713.960655
423.0,2512,92312.92798
400.0,2842,92991.344734
410.0,2476,93582.568666
361.0,3569,94436.831093
428.0,2867,95115.029265
382.0,4046,96079.795304
371.0,1845,96517.616619
421.0,8100,98455.561956
458.0,5893,99862.883077
