# {"t_start": 1574686255.0358791, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
2.0,204,57.519842
3.0,250,117.201272
4.0,280,182.787604
1.0,174,222.312296
0.0,129,251.157806
1.0,173,290.743567
3.0,247,348.374147
2.0,202,396.258605
0.0,129,423.475256
0.0,129,452.055733
0.0,129,480.983704
0.0,129,509.928581
2.0,200,556.71546
0.0,129,585.694257
0.0,125,612.034274
11.0,484,729.279226
1.0,173,768.562303
1.0,173,809.060897
12.0,431,911.48397
2.0,202,957.622502
9.0,404,1054.022147
0.0,129,1082.706602
0.0,129,1111.399696
1.0,176,1150.815717
0.0,129,1179.447636
0.0,129,1208.347606
9.0,404,1304.994442
0.0,127,1332.777265
0.0,127,1361.414981
2.0,202,1406.930542
5.0,350,1490.222396
0.0,129,1518.994257
0.0,127,1547.474956
5.0,329,1625.584088
9.0,404,1723.194872
0.0,129,1752.249118
0.0,129,1781.0592
2.0,200,1828.208171
0.0,129,1856.335476
0.0,129,1883.479459
0.0,129,1912.250653
0.0,129,1940.992212
0.0,127,1969.365859
0.0,127,1997.514737
0.0,127,2025.348704
9.0,404,2122.409335
3.0,248,2180.410336
0.0,127,2208.758182
0.0,129,2237.285954
5.0,350,2319.493503
0.0,127,2347.794955
0.0,129,2376.524153
0.0,129,2405.201782
2.0,202,2451.336012
10.0,450,2559.884111
0.0,129,2588.831982
0.0,129,2617.25087
5.0,350,2700.263368
0.0,123,2727.631533
0.0,129,2755.562339
0.0,129,2784.3637
0.0,129,2813.267992
1.0,175,2853.42239
2.0,202,2899.367904
0.0,125,2926.870554
6.0,396,3021.377899
5.0,350,3104.902656
3.0,248,3163.135154
1.0,172,3202.090005
0.0,127,3230.19032
2.0,190,3272.599591
2.0,202,3319.335958
0.0,125,3347.248332
2.0,203,3393.356922
0.0,129,3421.567253
0.0,127,3449.417662
0.0,129,3478.068332
2.0,201,3523.514511
6.0,399,3619.279671
5.0,307,3691.15978
3.0,248,3748.347012
0.0,129,3776.717152
2.0,224,3829.026124
0.0,129,3857.618229
0.0,127,3884.871607
1.0,155,3919.661199
1.0,172,3958.502215
1.0,155,3993.281461
6.0,360,4079.176882
3.0,216,4127.942435
0.0,129,4156.479616
0.0,129,4185.21971
5.0,329,4263.512315
12.0,320,4338.321055
13.0,546,4467.054124
6.0,397,4560.85908
6.0,379,4650.066739
21.0,629,4801.533686
8.0,467,4911.518548
11.0,472,5023.458668
4.0,268,5085.758112
11.0,472,5196.914197
2.0,203,5244.464972
5.0,314,5317.993023
0.0,127,5345.959724
2.0,186,5387.635313
16.0,578,5527.178039
0.0,129,5555.253324
5.0,330,5632.661971
7.0,399,5726.194933
2.0,220,5777.041866
13.0,549,5906.044083
7.0,338,5985.953265
3.0,246,6040.745205
7.0,344,6122.047951
5.0,322,6196.390614
10.0,376,6284.898146
12.0,440,6389.271294
19.0,765,6570.629945
7.0,398,6664.705774
12.0,600,6807.997465
8.0,297,6876.55325
7.0,394,6968.46704
7.0,359,7052.531034
8.0,483,7166.65625
15.0,448,7271.177794
14.0,568,7405.369823
11.0,584,7544.920094
9.0,454,7650.912843
12.0,598,7793.243606
10.0,477,7905.172125
3.0,216,7954.951375
12.0,501,8073.007111
7.0,413,8169.656636
12.0,528,8293.114778
14.0,421,8391.372313
14.0,633,8540.787785
8.0,435,8642.09584
11.0,526,8766.477122
14.0,675,8925.60603
20.0,655,9080.156309
14.0,612,9226.107659
18.0,808,9417.31062
14.0,558,9547.772183
0.0,127,9574.791864
8.0,424,9675.386561
2.0,200,9720.349584
16.0,554,9850.262085
13.0,659,10005.973403
21.0,740,10183.153745
16.0,637,10333.28677
16.0,483,10446.89566
23.0,814,10642.337042
19.0,553,10772.952037
14.0,517,10894.004502
17.0,718,11064.739557
13.0,570,11199.647361
3.0,248,11256.55071
11.0,522,11378.93245
1.0,157,11415.388507
22.0,698,11581.704086
