# {"t_start": 1574686248.5405831, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
1.0,153,51.811201
2.0,201,97.900157
0.0,127,126.600065
0.0,127,155.012336
0.0,129,183.383911
4.0,281,249.68375
0.0,129,278.667923
0.0,127,307.222119
0.0,129,333.899738
0.0,127,362.203995
0.0,127,390.368144
3.0,250,449.310349
4.0,297,519.754736
2.0,221,571.73665
1.0,155,606.789778
0.0,127,635.122014
0.0,129,664.053194
0.0,129,692.724288
0.0,125,720.133085
2.0,207,767.355308
0.0,127,796.008266
0.0,127,823.795213
0.0,127,851.767758
2.0,202,897.158053
3.0,270,961.14273
0.0,129,989.652407
8.0,352,1073.747823
4.0,299,1144.092395
1.0,173,1182.760383
8.0,369,1271.484022
4.0,299,1341.46897
1.0,157,1377.313479
1.0,155,1411.62437
2.0,202,1459.153601
0.0,129,1487.069595
2.0,202,1533.295852
5.0,350,1617.861291
0.0,129,1646.940024
9.0,404,1744.43223
0.0,129,1773.484248
2.0,200,1818.882341
0.0,127,1847.063872
0.0,125,1874.387624
0.0,129,1903.156084
4.0,297,1973.28849
0.0,127,2001.418607
5.0,350,2085.409604
0.0,127,2112.20117
0.0,129,2140.799232
5.0,352,2225.116789
4.0,297,2294.656376
9.0,404,2391.488236
0.0,129,2419.961224
0.0,127,2448.359876
2.0,198,2493.434996
5.0,350,2576.999879
5.0,350,2661.357271
0.0,127,2689.688579
0.0,127,2716.34827
9.0,382,2807.443997
3.0,246,2865.965966
0.0,127,2893.989608
0.0,127,2922.064824
2.0,225,2974.958677
0.0,125,3001.116337
0.0,129,3029.652204
2.0,202,3076.509245
2.0,198,3121.416583
2.0,200,3168.43172
0.0,129,3197.043819
0.0,129,3224.330482
2.0,202,3271.438567
2.0,202,3316.608205
2.0,198,3363.033468
3.0,248,3420.978016
9.0,404,3517.009827
3.0,248,3575.17591
2.0,224,3626.542035
5.0,350,3709.962791
5.0,348,3790.694928
4.0,249,3848.71631
0.0,129,3876.968009
2.0,210,3925.711894
1.0,155,3960.475843
0.0,129,3989.338423
0.0,125,4017.203994
10.0,377,4105.272371
2.0,188,4148.870948
1.0,178,4189.247879
10.0,493,4307.604923
7.0,248,4365.294154
0.0,129,4393.234083
5.0,350,4473.624284
6.0,397,4567.434273
4.0,304,4637.996548
7.0,248,4695.275951
5.0,352,4778.387868
11.0,459,4887.032242
3.0,269,4949.558782
17.0,393,5041.515435
10.0,523,5166.309774
4.0,299,5236.004719
6.0,385,5327.935764
0.0,127,5355.752837
3.0,277,5419.832899
4.0,267,5482.194069
5.0,307,5555.474063
3.0,232,5608.2057
2.0,202,5655.103359
6.0,345,5734.607992
5.0,311,5808.199217
6.0,382,5896.975337
0.0,129,5923.579984
13.0,531,6049.21184
8.0,443,6154.748681
12.0,487,6270.734614
17.0,588,6409.229033
12.0,496,6527.232424
5.0,350,6607.58409
14.0,557,6741.348207
5.0,335,6818.90374
16.0,642,6971.450845
2.0,203,7017.944256
13.0,484,7131.023977
10.0,481,7244.484828
13.0,480,7356.088068
14.0,487,7472.057275
9.0,437,7574.052498
17.0,663,7733.867988
2.0,200,7777.885811
13.0,493,7894.803908
14.0,571,8029.209298
0.0,127,8056.784685
1.0,169,8093.987284
16.0,559,8225.817878
2.0,225,8277.054709
13.0,569,8410.124733
13.0,602,8552.671304
0.0,127,8579.960456
19.0,635,8730.953746
1.0,171,8768.580634
19.0,650,8922.089866
17.0,791,9109.449563
14.0,679,9270.456373
15.0,583,9408.475879
18.0,670,9566.303601
15.0,437,9667.982342
12.0,603,9811.403249
20.0,452,9916.835432
17.0,757,10096.844993
2.0,200,10141.568153
2.0,202,10188.083307
24.0,578,10323.171962
1.0,157,10357.757537
5.0,350,10440.70044
17.0,658,10597.161424
0.0,125,10624.368889
20.0,783,10810.610898
12.0,569,10943.532147
0.0,129,10971.740234
19.0,680,11133.568817
10.0,507,11252.540147
2.0,188,11295.734979
0.0,129,11322.59857
16.0,656,11478.885136
31.0,813,11675.407862
18.0,764,11858.93005
1.0,155,11893.719538
0.0,129,11921.933871
13.0,546,12052.408601
6.0,323,12126.430317
18.0,625,12277.78418
24.0,800,12471.301729
15.0,653,12627.569935
11.0,539,12754.968663
24.0,541,12883.7112
15.0,689,13050.460918
10.0,471,13162.437042
1.0,157,13197.912596
32.0,959,13431.750235
16.0,756,13612.816378
27.0,992,13854.588224
6.0,387,13946.401963
21.0,695,14113.57159
15.0,631,14263.797668
3.0,253,14321.692667
25.0,887,14531.460687
23.0,526,14655.760708
26.0,640,14807.794597
1.0,178,14847.103905
40.0,1159,15123.522683
11.0,545,15251.564272
21.0,604,15394.356398
26.0,976,15624.72549
21.0,832,15823.380639
0.0,129,15849.580631
21.0,732,16022.956133
45.0,876,16232.892481
32.0,780,16418.448457
20.0,750,16597.272158
19.0,729,16769.992508
4.0,297,16838.87197
1.0,176,16879.900287
28.0,841,17079.897201
