# {"t_start": 1574686253.9846303, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
7.0,322,88.146309
3.0,271,152.824024
0.0,125,180.143767
0.0,125,207.84315
0.0,125,235.917118
9.0,402,332.266887
1.0,155,367.432888
2.0,198,412.29888
0.0,129,441.021729
4.0,281,507.740973
5.0,349,591.427199
0.0,127,619.738477
0.0,127,646.768725
6.0,382,738.200501
6.0,379,828.949081
0.0,125,856.367553
1.0,173,894.906147
0.0,129,923.770761
0.0,127,952.287361
0.0,129,980.901459
4.0,297,1050.597246
0.0,125,1078.102448
0.0,129,1106.966825
1.0,175,1146.303695
0.0,125,1173.715064
0.0,129,1202.670056
0.0,127,1230.946417
0.0,125,1258.745263
5.0,331,1336.198315
10.0,412,1434.884203
0.0,129,1463.1658
0.0,129,1491.490856
0.0,129,1520.287843
0.0,129,1549.251144
0.0,127,1577.997459
4.0,299,1648.893273
5.0,329,1726.704648
2.0,202,1774.764412
9.0,404,1870.920759
0.0,127,1899.1968
4.0,297,1969.442975
0.0,129,1998.099651
0.0,129,2026.357692
5.0,350,2109.185976
9.0,404,2207.187131
0.0,127,2233.631473
1.0,174,2274.56083
0.0,127,2302.567419
9.0,404,2399.369371
0.0,127,2426.111595
0.0,129,2454.820643
4.0,297,2526.129598
0.0,129,2553.262502
0.0,125,2581.055074
6.0,397,2676.354383
2.0,202,2723.967922
2.0,198,2768.166798
0.0,129,2797.200202
0.0,127,2825.674682
2.0,202,2873.373326
2.0,198,2918.168776
2.0,202,2964.238504
9.0,404,3060.143229
6.0,399,3155.402989
0.0,129,3184.383563
0.0,125,3212.077858
5.0,350,3295.022125
0.0,125,3322.301982
0.0,129,3351.103902
0.0,125,3377.216803
5.0,350,3460.534592
0.0,129,3488.999221
10.0,433,3592.410296
5.0,372,3681.57052
0.0,129,3709.672108
0.0,129,3737.501994
2.0,202,3783.128867
1.0,173,3823.500156
6.0,370,3909.492784
8.0,299,3981.447826
0.0,125,4007.68934
10.0,423,4109.792575
1.0,155,4144.077909
9.0,404,4240.58575
4.0,257,4300.410817
5.0,320,4374.489197
1.0,176,4413.530969
4.0,269,4475.3124
0.0,125,4502.814243
4.0,268,4564.908905
5.0,350,4647.293819
8.0,425,4747.83882
14.0,401,4842.763637
4.0,297,4911.764815
7.0,393,5003.872217
12.0,496,5122.428872
4.0,265,5183.71104
7.0,418,5283.471921
8.0,460,5393.754193
3.0,228,5445.019258
14.0,593,5588.082137
6.0,342,5667.877569
7.0,379,5756.741612
2.0,198,5802.641064
9.0,404,5896.47649
7.0,395,5989.365355
0.0,129,6017.174667
0.0,127,6043.431012
2.0,200,6089.752576
12.0,302,6159.151029
6.0,358,6243.839007
7.0,395,6336.200327
0.0,129,6364.62905
2.0,222,6414.130424
11.0,519,6537.417088
8.0,441,6642.195543
9.0,348,6723.177848
8.0,401,6817.098969
11.0,622,6964.988159
10.0,519,7087.341126
2.0,200,7131.898071
2.0,202,7177.859961
17.0,620,7324.481049
15.0,527,7450.189239
2.0,200,7494.809432
14.0,554,7624.865139
10.0,483,7740.186599
2.0,200,7784.142156
10.0,357,7868.071629
8.0,426,7968.079331
0.0,129,7995.950119
1.0,171,8033.648413
12.0,570,8169.608718
9.0,456,8275.28967
14.0,534,8400.651643
11.0,520,8522.341258
1.0,155,8556.480162
16.0,661,8713.483096
14.0,590,8853.704046
6.0,328,8928.279729
5.0,352,9009.970134
8.0,420,9107.949227
12.0,592,9249.244173
17.0,737,9422.780404
9.0,468,9532.600353
18.0,659,9688.18875
15.0,543,9816.382435
32.0,654,9970.986914
3.0,228,10023.154391
14.0,675,10183.690511
0.0,127,10211.877625
9.0,437,10312.316551
10.0,487,10428.309896
13.0,522,10551.556739
5.0,350,10632.483655
8.0,420,10731.899542
10.0,514,10851.924695
20.0,726,11025.045219
2.0,202,11070.208996
0.0,129,11098.009715
19.0,667,11255.355251
15.0,587,11395.971182
31.0,754,11576.991488
12.0,531,11702.991243
26.0,709,11872.150301
8.0,426,11973.003602
27.0,814,12170.214023
10.0,435,12273.681241
23.0,766,12459.059846
22.0,604,12602.80059
16.0,700,12770.84814
18.0,612,12916.436974
6.0,396,13009.422268
0.0,127,13037.347893
4.0,276,13101.677237
18.0,596,13246.679214
16.0,650,13403.647363
29.0,773,13590.297114
18.0,658,13748.882807
2.0,202,13794.494823
1.0,178,13836.178759
24.0,765,14020.024341
4.0,277,14085.94405
4.0,284,14151.683422
14.0,502,14269.023743
27.0,625,14415.854316
16.0,749,14593.557231
27.0,881,14804.38978
9.0,457,14910.788665
27.0,798,15099.367597
26.0,751,15278.221557
2.0,189,15319.746113
0.0,129,15347.829558
27.0,919,15565.222412
33.0,762,15746.372146
26.0,974,15977.454892
30.0,777,16162.360421
32.0,795,16352.138011
18.0,801,16542.164436
9.0,404,16637.349766
25.0,776,16822.567986
20.0,708,16990.890221
0.0,125,17018.09863
28.0,729,17192.369857
26.0,883,17402.35557
29.0,686,17564.534328
21.0,711,17731.018029
0.0,125,17757.995332
25.0,784,17944.11526
27.0,869,18151.417783
25.0,865,18357.898947
21.0,780,18542.538302
23.0,659,18698.410209
25.0,512,18816.688991
2.0,202,18863.356752
20.0,756,19042.14878
9.0,404,19136.03661
0.0,127,19163.714445
2.0,200,19208.318008
8.0,372,19295.285952
24.0,647,19448.202042
30.0,971,19680.2841
18.0,789,19868.359612
26.0,906,20082.397412
47.0,1186,20367.272681
2.0,198,20411.899035
29.0,623,20559.694582
43.0,1061,20813.042518
29.0,900,21027.099663
31.0,736,21200.171939
48.0,1068,21457.509708
34.0,873,21663.406993
31.0,670,21822.536461
22.0,778,22003.532409
20.0,709,22172.8685
40.0,949,22397.192692
57.0,1136,22666.884947
52.0,1020,22908.591343
48.0,835,23107.774973
21.0,624,23255.784695
5.0,340,23334.319121
0.0,127,23360.16745
32.0,666,23517.638355
0.0,129,23543.52143
31.0,655,23698.652348
78.0,1433,24042.702626
98.0,1795,24472.713641
73.0,1231,24767.848122
0.0,129,24795.643475
73.0,1465,25147.128127
77.0,1340,25469.560185
24.0,746,25645.177241
1.0,155,25678.704369
50.0,1069,25933.401367
47.0,1151,26208.047331
27.0,847,26407.445524
28.0,852,26608.919309
67.0,1191,26889.527417
97.0,1491,27241.841662
33.0,952,27470.47987
71.0,1542,27839.103868
67.0,1484,28191.279803
56.0,1162,28467.956689
199.0,1255,28767.165776
88.0,1353,29090.170767
5.0,350,29171.902647
0.0,129,29199.784755
0.0,129,29228.099775
102.0,1588,29606.500128
0.0,129,29634.104532
9.0,404,29728.171352
42.0,1046,29974.915498
3.0,214,30021.778852
108.0,1516,30381.772651
0.0,125,30408.267139
88.0,1357,30732.209379
59.0,1134,30999.586286
42.0,936,31221.061751
0.0,127,31246.892964
75.0,1335,31565.170072
47.0,1156,31840.443761
57.0,1225,32133.014722
3.0,248,32190.036946
7.0,411,32284.689941
71.0,1305,32596.135551
55.0,1151,32867.00156
0.0,125,32894.008961
302.0,2042,33381.047189
125.0,1727,33793.368016
69.0,1154,34068.407008
304.0,1999,34544.406785
