# {"t_start": 1574686247.3342938, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
1.0,171,57.136054
0.0,129,86.102121
3.0,253,144.888985
3.0,248,202.944381
2.0,186,246.970524
5.0,348,329.019835
10.0,457,439.97712
1.0,158,475.503732
4.0,297,545.922441
0.0,129,574.609025
0.0,129,603.549317
2.0,202,649.611554
2.0,202,697.243601
0.0,129,725.67538
0.0,129,754.305655
0.0,125,780.804196
0.0,127,809.147794
0.0,127,837.09104
2.0,202,883.919756
0.0,127,912.002637
1.0,173,951.29257
0.0,127,979.463885
2.0,202,1025.779411
5.0,350,1109.223912
5.0,350,1191.152823
0.0,129,1220.168724
0.0,127,1248.091576
0.0,125,1276.036531
0.0,129,1304.663668
1.0,157,1339.62436
3.0,248,1398.057049
0.0,129,1426.719991
0.0,127,1454.836058
0.0,129,1483.11146
0.0,127,1509.770966
0.0,127,1537.991632
0.0,127,1566.66427
0.0,129,1595.804263
2.0,200,1642.838505
0.0,129,1670.204727
0.0,125,1698.42083
0.0,127,1726.623475
0.0,129,1755.660299
0.0,125,1783.606306
7.0,449,1890.613429
0.0,125,1918.36208
5.0,350,2002.393387
0.0,129,2030.805534
5.0,350,2113.649381
0.0,129,2142.187413
9.0,404,2238.538897
2.0,200,2285.500966
0.0,129,2314.236029
4.0,297,2384.025074
2.0,200,2429.602796
0.0,127,2457.887295
0.0,129,2486.615494
6.0,382,2577.715432
0.0,125,2605.512515
0.0,129,2634.111329
0.0,127,2662.807928
0.0,125,2690.651399
0.0,129,2717.765644
0.0,127,2746.020471
0.0,129,2773.901255
0.0,127,2802.480356
9.0,404,2899.730599
5.0,350,2983.367868
2.0,198,3028.239777
12.0,512,3151.436462
2.0,202,3198.761255
5.0,350,3280.607559
1.0,157,3315.373715
5.0,352,3399.655883
1.0,155,3433.866703
1.0,176,3473.508394
7.0,429,3577.339475
3.0,248,3634.520877
0.0,127,3662.517871
10.0,451,3770.443885
2.0,202,3815.803998
6.0,379,3905.283778
7.0,392,3999.123129
4.0,243,4056.297304
8.0,447,4162.087561
0.0,129,4190.89935
5.0,352,4274.663431
7.0,418,4373.679643
0.0,129,4401.736873
10.0,454,4508.002041
9.0,432,4609.847532
13.0,354,4693.122288
0.0,125,4720.536122
5.0,325,4796.418995
11.0,394,4889.459192
7.0,392,4981.764356
0.0,129,5009.616741
5.0,354,5093.515397
0.0,129,5122.086613
7.0,418,5220.481707
3.0,254,5280.053847
5.0,309,5352.284623
24.0,701,5520.362864
5.0,313,5594.807483
7.0,411,5692.208577
11.0,406,5787.497773
16.0,573,5921.899914
11.0,371,6009.139769
10.0,473,6121.585133
11.0,472,6232.313607
