# {"t_start": 1574686246.7960055, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
1.0,157,54.544859
2.0,202,100.859378
0.0,129,130.058601
2.0,185,171.819849
1.0,176,212.960602
7.0,322,289.372405
6.0,397,384.308178
5.0,368,472.636187
1.0,173,512.380383
0.0,129,540.956404
0.0,127,569.102817
0.0,129,598.01651
5.0,350,680.832784
2.0,224,733.272495
2.0,200,778.984205
2.0,200,825.752341
0.0,129,854.213214
5.0,329,931.248662
0.0,129,960.276549
7.0,431,1063.016158
0.0,129,1091.724166
0.0,129,1120.452391
0.0,127,1148.312711
0.0,125,1175.715014
0.0,129,1204.54417
6.0,378,1295.169653
0.0,129,1323.936199
0.0,129,1350.866066
3.0,248,1408.964614
5.0,348,1491.833609
0.0,127,1520.116167
0.0,129,1549.028204
5.0,350,1632.136031
9.0,404,1729.7406
0.0,127,1758.329194
0.0,127,1786.744231
2.0,202,1834.369451
0.0,127,1860.632232
2.0,202,1907.978011
5.0,350,1991.956305
5.0,350,2074.273273
0.0,125,2102.266193
2.0,220,2154.000311
9.0,404,2250.265579
2.0,202,2296.140034
0.0,125,2323.945085
2.0,202,2369.684403
0.0,127,2398.025608
9.0,404,2494.912509
0.0,125,2522.414478
4.0,297,2593.840179
5.0,350,2676.449703
5.0,329,2755.036636
0.0,127,2781.640202
5.0,350,2866.484326
0.0,125,2894.017323
0.0,127,2922.148465
2.0,202,2968.216484
2.0,198,3014.376771
0.0,129,3042.936144
1.0,155,3077.384408
0.0,129,3106.213135
2.0,202,3151.95041
3.0,271,3215.821354
0.0,125,3243.284222
5.0,350,3325.936703
2.0,202,3372.228122
1.0,157,3407.066655
5.0,350,3490.349869
2.0,188,3532.682735
1.0,178,3572.895374
4.0,280,3640.600192
4.0,318,3714.876284
4.0,244,3771.472409
1.0,178,3811.210272
0.0,127,3839.248308
5.0,299,3908.410574
2.0,202,3955.696148
1.0,155,3990.805048
5.0,296,4060.213061
2.0,203,4106.057422
3.0,212,4155.128781
1.0,157,4190.74591
0.0,129,4219.22092
17.0,378,4309.085612
9.0,482,4422.148065
1.0,175,4461.960884
0.0,129,4490.55772
1.0,155,4524.572109
4.0,247,4581.98955
0.0,127,4608.60464
2.0,206,4655.740361
1.0,154,4689.949474
5.0,300,4759.741513
8.0,500,4879.114703
0.0,127,4907.148277
7.0,250,4965.020354
0.0,125,4991.964312
2.0,202,5037.060439
11.0,472,5149.893281
9.0,478,5263.076598
8.0,424,5363.746221
4.0,297,5433.932661
4.0,267,5496.624126
5.0,310,5568.60877
2.0,200,5613.936426
6.0,361,5699.393706
10.0,382,5789.268541
11.0,438,5891.160556
6.0,402,5985.501835
9.0,310,6058.288529
4.0,277,6122.300325
1.0,155,6156.464153
8.0,447,6261.644404
7.0,450,6368.474694
10.0,539,6496.392195
0.0,129,6524.356212
13.0,511,6645.114007
0.0,125,6671.208559
1.0,155,6706.220077
12.0,615,6852.600348
15.0,421,6950.888444
9.0,404,7044.944461
7.0,428,7146.549036
9.0,328,7221.753026
16.0,564,7354.285878
19.0,752,7534.652559
3.0,248,7591.224809
11.0,395,7684.052764
8.0,443,7787.765009
11.0,483,7902.572452
5.0,338,7980.580732
22.0,737,8156.16152
0.0,125,8183.353767
0.0,127,8210.848145
10.0,439,8311.931526
13.0,504,8430.795301
0.0,129,8458.958901
20.0,533,8583.819916
12.0,441,8686.728727
12.0,490,8802.648897
11.0,534,8928.036807
7.0,428,9026.874862
10.0,524,9150.597476
14.0,649,9305.166463
14.0,565,9438.996561
18.0,574,9572.572131
20.0,860,9778.012383
19.0,606,9920.584973
21.0,707,10089.149889
0.0,129,10117.52837
2.0,202,10162.600432
4.0,297,10231.152805
1.0,172,10268.791655
14.0,624,10416.380129
16.0,588,10556.736665
11.0,392,10648.756899
12.0,587,10787.142732
2.0,206,10834.301641
8.0,464,10941.656631
2.0,202,10988.408406
16.0,647,11142.040509
31.0,921,11362.112453
14.0,487,11476.021913
11.0,540,11604.780296
16.0,696,11771.753038
15.0,659,11930.224232
13.0,603,12073.705123
22.0,559,12208.504069
0.0,129,12236.884252
14.0,717,12408.95264
0.0,129,12437.48008
0.0,129,12466.308213
11.0,592,12607.304981
27.0,632,12757.602073
19.0,651,12914.169422
34.0,937,13140.036546
9.0,404,13236.563804
9.0,401,13332.384768
33.0,846,13537.639897
24.0,605,13683.380669
32.0,1046,13937.620699
0.0,127,13965.628484
1.0,176,14005.404188
16.0,756,14187.257826
40.0,791,14375.152173
16.0,573,14508.880646
42.0,715,14677.825232
28.0,876,14886.994481
4.0,299,14955.599833
25.0,498,15072.737908
23.0,695,15238.135074
9.0,382,15325.588375
0.0,125,15352.760352
29.0,810,15544.957237
0.0,129,15571.48025
23.0,853,15774.928423
16.0,718,15942.460736
21.0,760,16123.313143
39.0,1056,16376.608577
35.0,805,16569.080736
32.0,934,16792.66835
33.0,917,17012.667588
35.0,1109,17277.612565
10.0,481,17390.564023
23.0,791,17577.978236
41.0,922,17796.494466
1.0,177,17835.835126
28.0,608,17979.818324
0.0,125,18007.152604
22.0,683,18167.808128
9.0,404,18261.972697
13.0,575,18398.408485
23.0,831,18595.283023
21.0,713,18764.00508
13.0,459,18871.586385
38.0,559,19001.761145
37.0,846,19204.134935
27.0,649,19358.204146
0.0,129,19386.201812
13.0,602,19526.61284
33.0,897,19742.369612
9.0,404,19836.901344
24.0,758,20015.497025
55.0,1018,20258.180828
0.0,129,20285.844887
8.0,396,20378.968245
26.0,820,20574.102593
24.0,832,20771.985903
1.0,176,20812.44547
18.0,719,20981.487942
0.0,129,21009.309988
35.0,888,21220.837495
0.0,129,21248.736222
32.0,1003,21487.90852
23.0,838,21687.486734
36.0,1044,21933.917842
20.0,582,22070.281089
28.0,905,22284.36464
50.0,1182,22565.500633
0.0,125,22592.418432
50.0,1309,22903.092628
8.0,301,22974.193134
35.0,788,23162.288235
0.0,129,23190.244131
44.0,1162,23465.564579
50.0,1336,23783.345294
1.0,155,23817.006582
4.0,321,23891.114286
0.0,129,23919.169021
0.0,127,23946.93619
30.0,827,24143.629659
91.0,1478,24497.992838
45.0,1237,24794.236854
0.0,125,24820.111974
87.0,1370,25149.400635
59.0,1209,25438.820482
2.0,220,25488.87354
36.0,1026,25733.048251
72.0,1191,26016.412364
70.0,1255,26315.093084
41.0,993,26548.93262
93.0,1416,26884.542651
30.0,886,27092.940513
79.0,1233,27386.907016
53.0,1407,27723.620738
55.0,1110,27987.144486
53.0,986,28220.74827
58.0,1145,28493.597837
44.0,821,28686.552339
0.0,129,28714.756212
23.0,821,28908.8642
122.0,1526,29275.76091
39.0,1165,29552.097791
65.0,1264,29853.360873
115.0,1292,30158.968747
2.0,200,30203.036182
9.0,404,30295.91264
162.0,1933,30756.749498
163.0,1752,31173.956193
34.0,905,31387.968528
1.0,157,31421.936164
63.0,1286,31727.357718
158.0,1638,32118.924566
2.0,198,32164.803125
3.0,216,32212.651062
92.0,1153,32486.628805
79.0,1315,32799.644608
279.0,1339,33116.684506
